,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2476,951,1460,1233,1951,2668,2180,2709,2887,280,combine
median_Examscore(%),63.045,63.045,50.0,39.129999999999995,50.0,39.129999999999995,39.129999999999995,39.129999999999995,41.305,41.305,39.129999999999995,39.129999999999995,39.129999999999995,39.129999999999995,65.22,39.129999999999995,45.650000000000006,54.345,52.17,43.48,36.955,39.13,52.17,43.48,43.480000000000004,50.0,47.825
mean_Examscore(%),58.333333333333336,56.52249999999999,51.9925,43.65958333333334,52.71791666666667,44.02166666666667,44.02166666666667,43.65958333333334,44.746249999999996,43.660833333333336,43.47833333333333,43.47833333333333,43.65958333333334,43.47833333333333,61.41291666666668,43.47833333333333,46.5575,54.52916666666666,51.63,44.56458333333333,43.84041666666666,44.20291666666666,49.81916666666668,45.470416666666665,44.56499999999999,51.811666666666646,46.19541666666667
sd_Examscore(%),29.064470416295393,27.61727849986545,32.69959636102429,31.962094190403604,34.64709762349343,31.751510017726666,31.751510017726666,31.962094190403604,31.703083763392726,32.52239989495757,32.07818243613246,32.07818243613246,31.962094190403604,32.07818243613246,31.85437018399266,32.07818243613246,32.26845845201728,33.99282531929945,33.951902168649774,30.455407027490946,31.060022324128525,29.64688640872569,31.664807912648506,30.982863633777875,29.965512785896706,33.576912703026565,30.951339224964734
Total_acc1,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0
Total_acc2,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0
Total_acc3,3.0,3.0,5.0,7.0,5.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,7.0,5.0,6.0
Total_acc5,3.0,3.0,6.0,9.0,7.0,8.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,3.0,10.0,8.0,5.0,6.0,8.0,8.0,8.0,6.0,8.0,9.0,7.0,7.0
rate_acc1,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.041666666666666664,0.125,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.125,0.125
rate_acc2,0.08333333333333333,0.08333333333333333,0.125,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666
rate_acc3,0.125,0.125,0.20833333333333334,0.2916666666666667,0.20833333333333334,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.20833333333333334,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.125,0.2916666666666667,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.2916666666666667,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.2916666666666667,0.20833333333333334,0.25
rate_acc5,0.125,0.125,0.25,0.375,0.2916666666666667,0.3333333333333333,0.3333333333333333,0.375,0.3333333333333333,0.375,0.4166666666666667,0.4166666666666667,0.375,0.4166666666666667,0.125,0.4166666666666667,0.3333333333333333,0.20833333333333334,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.375,0.2916666666666667,0.2916666666666667
