,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,combine
0,33.63751571286639,33.71385095462214,32.50753889118499,32.40306893166875,33.04130807107399,33.04130807107399,33.04130807107399,33.88073743364537,33.04130807107399,33.04130807107399,33.04130807107399,33.04130807107399,33.571153929980966,33.04130807107399,33.04130807107399,33.04130807107399,32.840591745437166
1,29.97173604295506,29.97173604295506,29.33134673738271,29.33134673738271,29.871177300758227,29.690755615976144,29.603465168794006,30.076024385831694,29.871177300758227,29.871177300758227,29.871177300758227,29.871177300758227,30.472480637297583,29.871177300758227,29.871177300758227,29.871177300758227,29.707307205948027
2,36.88680209841481,36.88680209841481,36.60003495965023,36.60003495965023,34.07765493273101,33.72876534100487,33.561059663161494,37.24860352767476,34.07765493273101,34.07765493273101,34.07765493273101,34.07765493273101,33.31878471316001,34.07765493273101,34.07765493273101,34.07765493273101,33.17841743262227
3,31.564898957393734,31.564898957393734,31.01487215453104,31.01487215453104,27.825267174518437,27.825267174518437,27.825267174518437,31.862023259524435,27.825267174518437,27.825267174518437,27.825267174518437,27.825267174518437,27.29350124113797,27.825267174518437,27.825267174518437,27.825267174518437,27.574385871501768
4,30.109144339504944,30.180625265699373,29.467304787315918,29.342116569223577,28.22939649001509,28.06067008669404,27.97949671081444,30.3213376856566,28.22939649001509,28.22939649001509,28.22939649001509,28.22939649001509,28.16589151370687,28.22939649001509,28.22939649001509,28.22939649001509,28.004657095697834
5,35.81069763020409,35.950459570544204,35.610452665581484,35.39490635267009,34.83348325554431,34.69290825706795,34.62528453381458,36.047126792575305,34.83348325554431,34.83348325554431,34.83348325554431,34.83348325554431,34.8136209864828,34.83348325554431,34.83348325554431,34.83348325554431,34.59451959762523
6,35.62560190970212,35.62560190970212,32.035235675142225,32.035235675142225,33.00390259030705,32.875831570145436,32.81468644053263,35.94104800125577,33.00390259030705,33.00390259030705,33.00390259030705,33.00390259030705,33.39410192434187,33.00390259030705,33.00390259030705,33.00390259030705,32.484147657705584
7,30.390242285813983,30.481711620795398,31.41521042728309,31.275307017639634,31.2201253162428,31.2201253162428,31.2201253162428,30.641522745948446,31.2201253162428,31.2201253162428,31.2201253162428,31.2201253162428,30.97374914650269,31.2201253162428,31.2201253162428,31.2201253162428,30.941130277627916
8,36.82774979226812,36.89023510619682,31.656222866767855,31.584128594083754,32.45430271569403,32.33483219157234,32.278081956056575,37.152450608142615,32.45430271569403,32.45430271569403,32.45430271569403,32.45430271569403,33.04322570152473,32.45430271569403,32.45430271569403,32.45430271569403,32.10225276919274
9,30.163064081122542,30.03866364093671,28.418772593380695,28.136828873339994,23.33852407909455,23.33852407909455,23.33852407909455,30.469206828565536,23.33852407909455,23.33852407909455,23.33852407909455,23.33852407909455,22.268204666016953,23.33852407909455,23.33852407909455,23.33852407909455,22.819526047830596
