,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,24,5,1247,1526,1011,8,9,combine
0,26.57526281800716,26.53575057158617,27.156229769990397,25.33626649180162,27.77818397707277,27.77818397707277,27.25389765585644,32.59613212857608,28.433832176539088,27.182524305667517,27.56033835525991,27.56033835525991,23.85463390987921,28.73310833877345,27.276754501843623,27.248578131570603,24.11273253932081,24.682163517354706,24.895776893187822,28.392562170444634,25.99358253024023,25.967894871137737,25.191491929638183,16.461530397044516
1,27.267770286736987,26.85972629068019,27.573574369777326,26.92737115597798,26.693806675101484,26.693806675101484,26.818429033657686,29.470395096017715,27.819435370959177,26.205630824749804,26.29048825633351,26.29048825633351,24.19694587636195,26.67482265819501,29.568099975376267,26.562625892311026,25.289387455701956,27.46696016965726,27.879630390396645,27.757666345742006,27.62071080520223,26.651399559151457,27.34374354798458,15.431482563336685
2,21.49561743645339,22.21835737743189,21.76897662577029,26.920944185398348,23.02203565928599,23.02203565928599,23.538715123801623,33.702408990022796,29.668602410197195,24.532459476145434,24.820994726859137,24.820994726859137,23.90411278313249,30.396429277474564,30.124402579457584,23.976899714848404,27.31947140683213,25.59514403939615,27.237061664963523,29.425356542074475,27.96528177135503,26.910759472460366,27.661466468347033,15.553160936870846
3,27.765390648874643,27.97303056012968,27.66994869820937,27.254614457569737,28.378786606033195,28.378786606033195,28.73162574496469,33.033219983828396,30.233792554748895,28.809066303544988,29.03241190948578,29.03241190948578,24.179549819779105,30.24060576210362,31.320624301994147,29.116084703502608,25.386322522530687,25.921627262498347,26.937890289872932,29.245979463982604,28.21386792009951,26.850386760094658,27.966358595228716,16.54537860761218
4,27.806506893909305,27.428632820420265,27.513389113535624,22.956556719383165,27.22862842953802,27.22862842953802,26.761323161828056,31.31843184665116,26.89362375578919,26.023434920550027,26.271583213641353,26.271583213641353,23.686103634507205,26.576380412564337,22.897481890441075,26.281403719633374,21.361973582057274,22.888970465583615,21.666172781846374,24.238768235554446,23.027464404989903,21.301016105232744,21.807863854523575,15.979430718575165
5,26.817653939532306,26.732450796306036,26.77240584646237,25.455238416100382,26.07939514670439,26.07939514670439,26.391908034082856,31.852206235224614,27.69351763337869,26.125290025380696,25.937659043689095,25.937659043689095,24.896095641789465,28.955092611508356,26.676275341391708,25.9013936747595,25.609619054976697,26.859185336176466,27.33760297015534,26.87727630312192,26.359965710212713,24.689364735157547,25.427398002286168,14.813569747155684
6,25.807042464591536,25.799164585957687,25.722413447997905,27.535348488992415,26.466879252601636,26.466879252601636,26.667033806767524,35.76296867069379,28.511044175897876,26.248122148949125,26.544347850729217,26.544347850729217,24.280887445235713,30.07771265235167,27.983531877626778,26.365457155635305,25.257519518820324,25.718470204883637,25.868982238412116,27.551613009460574,26.123106306044907,25.047429731488336,26.91232884471638,16.621227852373387
7,28.057420215812193,27.70798818447073,27.73525110364157,28.161893601424403,26.419018517406673,26.419018517406673,26.725211140659315,34.08214375329863,28.070515408886113,25.4887732438099,25.71838942872769,25.71838942872769,22.51357219004595,30.53529273748825,27.152877162561026,25.852475574562167,26.316383797053998,26.803341495427627,28.587147869861614,28.36774988026423,27.81753246144578,25.163486518804405,27.813318889125853,15.365497144576873
8,26.888254055513645,26.374376180494902,26.698195387012156,27.206051069710433,26.059988443825283,26.059988443825283,25.6659079474939,33.77470230277427,27.63964684804449,25.16309273188281,26.179714341696332,26.179714341696332,23.177005424530535,27.188508713972222,25.50488133143868,25.688939947787365,25.997647081650513,25.70491071511035,24.256797810098508,27.996918968535972,27.242529458221227,25.10073501835232,28.097681608895627,13.229540023401007
9,22.74421333985236,22.691134245192178,22.828681128161605,27.70385277172538,24.17456505985854,24.17456505985854,23.980909346330535,33.34143166369158,30.562223204136956,24.276192145064734,24.632746339853984,24.632746339853984,23.482692031879623,29.659856855992217,26.06831296730839,23.647186983732123,28.840378993917895,27.03397188059915,30.20156529735266,31.373234121313814,27.02165643231654,30.184499561563904,28.34460371809593,17.484720655768466
10,26.21983678365559,26.22021395671472,26.07983409476096,26.175908809192844,25.195510176952624,25.195510176952624,25.49581720219401,33.130879840027774,28.231774565694682,25.332675766179126,25.19005597325852,25.19005597325852,24.788101151922646,28.769346003814192,28.340817533401157,25.10237091672867,26.313115174610317,27.6390709506094,29.04352591149695,28.653202128969635,28.469086598111453,26.389838554077144,26.543672281828826,14.468117379701498
11,25.174007136737547,24.51186887287515,25.148548023540197,28.035383978246,25.49572144975682,25.49572144975682,25.38044623756542,34.91846179003381,28.09953871325001,25.02942758291138,25.155717523111207,25.155717523111207,23.32683951990023,30.328641075511097,31.152831034664548,25.403612087956798,26.43048856107134,28.20328785616024,27.242296445803266,27.859107496702418,28.34787544157908,27.97937291387793,27.318923927403915,15.885779479757584
12,27.005303581675612,27.009797932583172,26.824202122098242,18.37960016724227,26.7415898101987,26.7415898101987,26.957553376344478,31.94733242344905,23.199419527441982,27.06673357837189,27.126861074049266,27.126861074049266,24.37120881101831,27.47627001217689,25.403704610720027,27.181995360805875,19.196340723676663,20.093333501884374,19.053548151971256,18.768194917165527,19.42767713129773,20.668904279195942,17.539741278096553,17.5217041946443
13,26.439683722021194,25.754087771130177,26.540055357844224,26.884997378435088,28.71316436669282,28.71316436669282,27.923284920818872,33.38943574292277,30.428376175318107,27.193723257681807,27.096043594250773,27.096043594250773,23.846104975446206,28.44405128989278,28.990823657601624,27.63961287601361,25.970804257512917,28.709904070386045,29.015454219945333,31.720163156975218,28.21481193905801,26.56804280449613,26.90631662444475,14.805756968931949
14,23.91801691355124,24.245665200724872,23.74732815740299,26.3159446049105,26.499648753114858,26.499648753114858,26.872294090372844,28.14800259798926,27.628375091422,27.023040471903858,26.82860402343279,26.82860402343279,25.808484977986883,27.066905097156223,28.999900149032346,27.086729156733856,24.32394066921491,24.853297279053855,25.952322241826256,27.79264261616271,27.374126984088928,25.992019878643422,25.7003521077346,16.38374826208534
15,26.5189499927495,26.123439715399325,26.5189499927495,25.786036069040275,27.522064858992028,27.522064858992028,27.21544301306587,34.01460536600605,28.83228209325665,26.82674459521548,27.753219096031142,27.753219096031142,25.438041821861393,28.406267219960366,22.565236956660932,26.876231505475193,24.792650642830345,23.635238195357413,24.95181312460335,28.198592122521077,23.250544057599146,24.85448253308001,25.911985939339207,16.5034977178499
16,22.6321584099898,22.3842337142543,22.668343763370956,24.65625374329698,25.86234065893832,25.86234065893832,25.86611802220158,36.36160001750932,27.51412614341763,26.316021808893414,26.845210674417253,26.845210674417253,24.32522940572248,32.99573294479306,29.14386894994889,25.911031705404195,24.47804180699772,24.126572094386738,26.13138382192412,27.87156869072947,23.523322522551958,28.058580751386042,24.054977829909465,17.555530429293388
