,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2262,1161,704,563,943,1038,1034,combine
class2Mut129_T0,5.0,5.0,5.0,2.0,7.0,3.0,3.0,2.0,19.0,2.0,2.0,17.0,3.0,2.0,20.0,2.0,3.0,9.0,9.0,3.0,2.0,13.0,15.0,1.0
class2Mut109_T3,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,18.0,14.0,18.0,6.0,6.0,4.0,8.0,6.0,5.0,4.0,6.0,4.0,2.0,4.0,1.0
class2Mut145_T0,5.0,5.0,5.0,2.0,7.0,3.0,3.0,2.0,19.0,2.0,2.0,17.0,3.0,2.0,20.0,2.0,3.0,9.0,9.0,3.0,2.0,13.0,15.0,1.0
class2Mut105_T2,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,21.0,1.0,20.0,14.0,2.0,2.0,21.0,2.0,1.0,3.0,5.0,1.0,11.0,7.0,8.0,3.0
class2Mut54_T14,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,11.0,8.0,9.0,15.0,15.0,11.0,14.0,14.0,13.0,14.0,14.0,13.0,11.0,12.0,1.0
class2Mut47_T2,8.0,5.0,8.0,1.0,3.0,5.0,5.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,5.0,2.0,1.0,11.0,8.0,1.0
class2Mut8_T3,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,18.0,14.0,18.0,6.0,6.0,4.0,8.0,6.0,5.0,4.0,6.0,4.0,2.0,4.0,1.0
class2Mut83_T15,16.0,16.0,16.0,16.0,9.0,16.0,16.0,16.0,7.0,15.0,10.0,16.0,16.0,16.0,7.0,10.0,8.0,7.0,8.0,8.0,6.0,4.0,7.0,10.0
class2Mut164_T14,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,11.0,11.0,8.0,9.0,15.0,15.0,11.0,14.0,14.0,13.0,14.0,14.0,13.0,11.0,12.0,1.0
class2Mut113_T3,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,18.0,14.0,18.0,6.0,6.0,4.0,8.0,6.0,5.0,4.0,6.0,4.0,2.0,4.0,1.0
class2Mut59_T7,11.0,11.0,11.0,9.0,8.0,9.0,9.0,9.0,5.0,17.0,13.0,17.0,9.0,9.0,5.0,9.0,7.0,6.0,6.0,7.0,5.0,3.0,5.0,6.0
class2Mut167_T7,4.0,6.0,4.0,8.0,3.0,2.0,2.0,8.0,5.0,17.0,9.0,17.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,4.0,3.0,3.0,5.0,6.0
class2Mut146_T12,16.0,16.0,16.0,15.0,10.0,15.0,15.0,15.0,8.0,14.0,10.0,14.0,15.0,15.0,8.0,14.0,10.0,10.0,11.0,9.0,9.0,5.0,9.0,1.0
