,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,565,1327,355,514,406,2067,591,364,combine
median_Examscore(%),58.695,54.349999999999994,36.955,45.655,39.13,45.655,45.655,45.655,43.48,39.129999999999995,45.655,45.655,45.655,45.655,60.87,45.655,34.78,34.78,30.43,34.78,26.09,26.09,28.259999999999998,26.09,32.61
mean_Examscore(%),50.36208333333334,46.74,42.210416666666674,40.21791666666667,44.565416666666664,40.21791666666667,40.21791666666667,40.21791666666667,40.39958333333334,39.130833333333335,40.21791666666666,40.21791666666666,40.21791666666667,40.21791666666666,55.07208333333332,40.21791666666666,38.58708333333333,38.58708333333333,36.05,38.76791666666667,36.77583333333334,36.595000000000006,40.217916666666675,36.23250000000001,40.399166666666666
sd_Examscore(%),31.869753000934594,30.101786311287825,31.962109017746606,27.47484430136153,32.03340104371586,27.474844301361525,27.474844301361525,27.47484430136153,28.62496044867845,26.770733194985553,27.47484430136153,27.47484430136153,27.47484430136153,27.47484430136153,36.05061309002479,27.47484430136153,28.533458998648175,28.53345899864817,26.87723992687784,27.28476832277555,29.29138676139792,28.60866226375744,29.827301613755992,27.814421540851317,31.832392159241035
Total_acc1,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
Total_acc2,5.0,5.0,6.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0
Total_acc3,6.0,6.0,8.0,6.0,4.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,5.0,6.0,6.0
Total_acc5,6.0,6.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,11.0,11.0
rate_acc1,0.125,0.125,0.125,0.125,0.08333333333333333,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.08333333333333333,0.125,0.125
rate_acc2,0.20833333333333334,0.20833333333333334,0.25,0.20833333333333334,0.08333333333333333,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.16666666666666666,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.16666666666666666,0.20833333333333334,0.20833333333333334,0.16666666666666666,0.20833333333333334,0.20833333333333334
rate_acc3,0.25,0.25,0.3333333333333333,0.25,0.16666666666666666,0.25,0.25,0.25,0.2916666666666667,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.25,0.2916666666666667,0.25,0.20833333333333334,0.25,0.25
rate_acc5,0.25,0.25,0.375,0.375,0.4166666666666667,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.25,0.375,0.375,0.375,0.375,0.375,0.4583333333333333,0.4583333333333333,0.4166666666666667,0.4583333333333333,0.4583333333333333
