,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2262,1161,704,563,943,1038,1034,combine
median_Examscore(%),38.1,38.1,38.1,45.239999999999995,40.480000000000004,42.86,42.86,45.239999999999995,38.1,66.67,61.9,73.81,42.86,45.239999999999995,38.1,42.86,28.57,33.33,33.335,30.95,28.57,30.95,38.1,9.52
mean_Examscore(%),42.738,42.26174999999999,42.61899999999999,42.49975,41.42925,43.095,43.095,42.49975,49.40425,54.8805,56.66674999999999,64.04725000000002,42.73775,42.7375,49.64225,45.00075,36.6675,38.690250000000006,38.809999999999995,36.667500000000004,35.952000000000005,37.856,41.190999999999995,15.951999999999995
sd_Examscore(%),26.003427703048924,25.929626643756663,25.96904032467537,26.26894115046639,25.862996870343245,25.011759695729584,25.011759695729584,26.26894115046639,33.63189023008844,33.60275560663105,28.66944682888666,27.001123052379572,25.347378611998515,25.689543592675992,33.94497406153762,28.510706166100896,26.834538474291026,27.006541229240497,24.532583879299626,25.976005175388202,26.214893026870367,22.821742759134384,25.96081453425626,14.248377181549214
Total_acc1,4.0,3.0,4.0,5.0,1.0,1.0,1.0,5.0,4.0,5.0,1.0,1.0,2.0,1.0,4.0,1.0,5.0,5.0,4.0,4.0,4.0,0.0,4.0,17.0
Total_acc2,6.0,6.0,6.0,8.0,5.0,6.0,6.0,8.0,6.0,9.0,4.0,5.0,6.0,8.0,6.0,8.0,7.0,7.0,6.0,8.0,10.0,4.0,6.0,22.0
Total_acc3,6.0,6.0,6.0,10.0,10.0,8.0,8.0,10.0,6.0,9.0,6.0,5.0,8.0,10.0,6.0,10.0,11.0,11.0,6.0,12.0,12.0,9.0,6.0,27.0
Total_acc5,13.0,15.0,13.0,12.0,12.0,13.0,13.0,12.0,15.0,12.0,7.0,5.0,12.0,12.0,15.0,12.0,15.0,15.0,16.0,16.0,18.0,15.0,15.0,31.0
rate_acc1,0.1,0.075,0.1,0.125,0.025,0.025,0.025,0.125,0.1,0.125,0.025,0.025,0.05,0.025,0.1,0.025,0.125,0.125,0.1,0.1,0.1,0.0,0.1,0.425
rate_acc2,0.15,0.15,0.15,0.2,0.125,0.15,0.15,0.2,0.15,0.225,0.1,0.125,0.15,0.2,0.15,0.2,0.175,0.175,0.15,0.2,0.25,0.1,0.15,0.55
rate_acc3,0.15,0.15,0.15,0.25,0.25,0.2,0.2,0.25,0.15,0.225,0.15,0.125,0.2,0.25,0.15,0.25,0.275,0.275,0.15,0.3,0.3,0.225,0.15,0.675
rate_acc5,0.325,0.375,0.325,0.3,0.3,0.325,0.325,0.3,0.375,0.3,0.175,0.125,0.3,0.3,0.375,0.3,0.375,0.375,0.4,0.4,0.45,0.375,0.375,0.775
