index,trace,input_val,output_event,input_event
0,['t1'],"{'p': 65, 'id': 1, 'd': 0, 'w': 0, 'id1': 1, 'id2': 2, 'amnt': 0}",!U.Disp('EnterPIN');,
1,"['t1', 't2']","{'p': 135, 'id': 1, 'd': 0, 'w': 0, 'id1': 1, 'id2': 2, 'amnt': 0}","!U.Disp('WrongPIN,Reenter');",?U.PIN(p);
2,"['t1', 't2', 't4']","{'p': 65, 'id': 1, 'd': 0, 'w': 0, 'id1': 1, 'id2': 2, 'amnt': 0}",!U.Disp('SelectLang');,?U.PIN(p);
3,"['t1', 't2', 't4', 't5']","{'p': 65, 'id': 1, 'd': 0, 'w': 0, 'id1': 1, 'id2': 2, 'amnt': 0}",!U.Disp(Eng);,?U.Select(id);
4,"['t1', 't2', 't4', 't5', 't7']","{'p': 65, 'id': 1, 'd': 0, 'w': 0, 'id1': 1, 'id2': 2, 'amnt': 0}",,?U.current();
5,"['t1', 't2', 't4', 't5', 't7', 't12']","{'p': 65, 'id': 2, 'd': 0, 'w': 0, 'id1': 1, 'id2': 2, 'amnt': 0}","!U.Disp(Fre,60);",?U.Balance(id);
6,"['t1', 't2', 't4', 't5', 't7', 't12', 't16']","{'p': 65, 'id': 2, 'd': 0, 'w': 0, 'id1': 1, 'id2': 2, 'amnt': 0}",!U.receipt(Fre);,?U.Print(id);
7,"['t1', 't2', 't4', 't5', 't7', 't12', 't16', 't9']","{'p': 65, 'id': 2, 'd': 0, 'w': 0, 'id1': 1, 'id2': 2, 'amnt': 0}",,?U.done();
8,"['t1', 't2', 't4', 't5', 't7', 't12', 't16', 't9', 't23']","{'p': 65, 'id': 0, 'd': 0, 'w': 0, 'id1': 1, 'id2': 2, 'amnt': 0}",!U.Disp('Canceling');,?U.Select(id);
0,['t1'],"{'p': 65, 'id': 1, 'd': 0, 'w': 0, 'id1': 1, 'id2': 2, 'amnt': 0}",!U.Disp('EnterPIN');,
1,"['t1', 't4']","{'p': 65, 'id': 0, 'd': 0, 'w': 0, 'id1': 1, 'id2': 2, 'amnt': 0}",!U.Disp('SelectLang');,?U.PIN(p);
2,"['t1', 't4', 't24']","{'p': 65, 'id': 0, 'd': 0, 'w': 0, 'id1': 1, 'id2': 2, 'amnt': 0}",!U.Disp('Canceling');,?U.Select(id);
3,"['t1', 't4', 't24', 't1']","{'p': 65, 'id': 1, 'd': 0, 'w': 0, 'id1': 1, 'id2': 2, 'amnt': 0}",!U.Disp('EnterPIN');,
4,"['t1', 't4', 't24', 't1', 't2']","{'p': 33, 'id': 0, 'd': 0, 'w': 0, 'id1': 1, 'id2': 2, 'amnt': 0}","!U.Disp('WrongPIN,Reenter');",?U.PIN(p);
