index,trace,input_val,output_event,input_event
0,['t1'],{'qos': 1},,?U.input(qos);
1,"['t1', 't27']",{'qos': 1},!U.output(1);,?U.input(qos);
2,"['t1', 't27', 't26']",{'qos': 1},,?U.input(qos);
3,"['t1', 't27', 't26', 't19']",{'qos': 1},,
4,"['t1', 't27', 't26', 't19', 't76']",{'qos': 1},!U.output(1);,
5,"['t1', 't27', 't26', 't19', 't76', 't71']",{'qos': 1},,?U.input(qos);
6,"['t1', 't27', 't26', 't19', 't76', 't71', 't1']",{'qos': 1},,?U.input(qos);
7,"['t1', 't27', 't26', 't19', 't76', 't71', 't1', 't11']",{'qos': 0},,?U.input(qos);
8,"['t1', 't27', 't26', 't19', 't76', 't71', 't1', 't11', 't12']",{'qos': 0},!U.1put(out);,
9,"['t1', 't27', 't26', 't19', 't76', 't71', 't1', 't11', 't12', 't11']",{'qos': 0},,?U.input(qos);
10,"['t1', 't27', 't26', 't19', 't76', 't71', 't1', 't11', 't12', 't11', 't12']",{'qos': 0},!U.1put(out);,
11,"['t1', 't27', 't26', 't19', 't76', 't71', 't1', 't11', 't12', 't11', 't12', 't27']",{'qos': -1},!U.output(1);,?U.input(qos);
12,"['t1', 't27', 't26', 't19', 't76', 't71', 't1', 't11', 't12', 't11', 't12', 't27', 't26']",{'qos': -1},,?U.input(qos);
13,"['t1', 't27', 't26', 't19', 't76', 't71', 't1', 't11', 't12', 't11', 't12', 't27', 't26', 't23']",{'qos': -1},,
14,"['t1', 't27', 't26', 't19', 't76', 't71', 't1', 't11', 't12', 't11', 't12', 't27', 't26', 't23', 't1']",{'qos': -1},,?U.input(qos);
0,['t1'],{'qos': -1},,?U.input(qos);
1,"['t1', 't13']",{'qos': -1},!U.output(1);,
2,"['t1', 't13', 't12']",{'qos': -1},!U.1put(out);,
3,"['t1', 't13', 't12', 't11']",{'qos': -2},,?U.input(qos);
4,"['t1', 't13', 't12', 't11', 't12']",{'qos': -2},!U.1put(out);,
5,"['t1', 't13', 't12', 't11', 't12', 't11']",{'qos': -2},,?U.input(qos);
6,"['t1', 't13', 't12', 't11', 't12', 't11', 't12']",{'qos': -2},!U.1put(out);,
7,"['t1', 't13', 't12', 't11', 't12', 't11', 't12', 't13']",{'qos': -2},!U.output(1);,
0,['t1'],{'qos': -1},,?U.input(qos);
1,"['t1', 't9']",{'qos': -1},,
2,"['t1', 't9', 't12']",{'qos': -1},!U.1put(out);,
3,"['t1', 't9', 't12', 't9']",{'qos': -1},,
4,"['t1', 't9', 't12', 't9', 't12']",{'qos': -1},!U.1put(out);,
5,"['t1', 't9', 't12', 't9', 't12', 't13']",{'qos': -1},!U.output(1);,
6,"['t1', 't9', 't12', 't9', 't12', 't13', 't12']",{'qos': -1},!U.1put(out);,
7,"['t1', 't9', 't12', 't9', 't12', 't13', 't12', 't27']",{'qos': -1},!U.output(1);,?U.input(qos);
8,"['t1', 't9', 't12', 't9', 't12', 't13', 't12', 't27', 't26']",{'qos': -1},,?U.input(qos);
9,"['t1', 't9', 't12', 't9', 't12', 't13', 't12', 't27', 't26', 't21']",{'qos': -1},,
10,"['t1', 't9', 't12', 't9', 't12', 't13', 't12', 't27', 't26', 't21', 't20']",{'qos': -1},!U.0put(out);,
11,"['t1', 't9', 't12', 't9', 't12', 't13', 't12', 't27', 't26', 't21', 't20', 't21']",{'qos': -1},,
12,"['t1', 't9', 't12', 't9', 't12', 't13', 't12', 't27', 't26', 't21', 't20', 't21', 't69']",{'qos': -1},!U.0put(out);,
0,['t1'],{'qos': -1},,?U.input(qos);
1,"['t1', 't27']",{'qos': -1},!U.output(1);,?U.input(qos);
2,"['t1', 't27', 't26']",{'qos': -1},,?U.input(qos);
3,"['t1', 't27', 't26', 't23']",{'qos': -1},,
4,"['t1', 't27', 't26', 't23', 't1']",{'qos': -1},,?U.input(qos);
5,"['t1', 't27', 't26', 't23', 't1', 't9']",{'qos': -1},,
6,"['t1', 't27', 't26', 't23', 't1', 't9', 't12']",{'qos': -1},!U.1put(out);,
7,"['t1', 't27', 't26', 't23', 't1', 't9', 't12', 't9']",{'qos': -1},,
0,['t1'],{'qos': -1},,?U.input(qos);
1,"['t1', 't11']",{'qos': 0},,?U.input(qos);
2,"['t1', 't11', 't12']",{'qos': 0},!U.1put(out);,
3,"['t1', 't11', 't12', 't11']",{'qos': 0},,?U.input(qos);
4,"['t1', 't11', 't12', 't11', 't12']",{'qos': 0},!U.1put(out);,
5,"['t1', 't11', 't12', 't11', 't12', 't9']",{'qos': 0},,
6,"['t1', 't11', 't12', 't11', 't12', 't9', 't12']",{'qos': 0},!U.1put(out);,
7,"['t1', 't11', 't12', 't11', 't12', 't9', 't12', 't27']",{'qos': 0},!U.output(1);,?U.input(qos);
8,"['t1', 't11', 't12', 't11', 't12', 't9', 't12', 't27', 't26']",{'qos': 0},,?U.input(qos);
9,"['t1', 't11', 't12', 't11', 't12', 't9', 't12', 't27', 't26', 't21']",{'qos': 0},,
10,"['t1', 't11', 't12', 't11', 't12', 't9', 't12', 't27', 't26', 't21', 't69']",{'qos': 0},!U.1put(out);,
0,['t1'],{'qos': 0},,?U.input(qos);
1,"['t1', 't11']",{'qos': -1},,?U.input(qos);
2,"['t1', 't11', 't12']",{'qos': -1},!U.1put(out);,
3,"['t1', 't11', 't12', 't27']",{'qos': 0},!U.output(1);,?U.input(qos);
4,"['t1', 't11', 't12', 't27', 't26']",{'qos': 0},,?U.input(qos);
5,"['t1', 't11', 't12', 't27', 't26', 't23']",{'qos': 0},,
6,"['t1', 't11', 't12', 't27', 't26', 't23', 't1']",{'qos': 0},,?U.input(qos);
7,"['t1', 't11', 't12', 't27', 't26', 't23', 't1', 't11']",{'qos': -1},,?U.input(qos);
8,"['t1', 't11', 't12', 't27', 't26', 't23', 't1', 't11', 't12']",{'qos': -1},!U.1put(out);,
9,"['t1', 't11', 't12', 't27', 't26', 't23', 't1', 't11', 't12', 't13']",{'qos': -1},!U.output(1);,
10,"['t1', 't11', 't12', 't27', 't26', 't23', 't1', 't11', 't12', 't13', 't12']",{'qos': -1},!U.1put(out);,
0,['t1'],{'qos': 0},,?U.input(qos);
1,"['t1', 't11']",{'qos': -1},,?U.input(qos);
2,"['t1', 't11', 't12']",{'qos': -1},!U.1put(out);,
3,"['t1', 't11', 't12', 't13']",{'qos': -1},!U.output(1);,
4,"['t1', 't11', 't12', 't13', 't12']",{'qos': -1},!U.1put(out);,
5,"['t1', 't11', 't12', 't13', 't12', 't13']",{'qos': -1},!U.output(1);,
6,"['t1', 't11', 't12', 't13', 't12', 't13', 't12']",{'qos': -1},!U.1put(out);,
7,"['t1', 't11', 't12', 't13', 't12', 't13', 't12', 't11']",{'qos': -1},,?U.input(qos);
8,"['t1', 't11', 't12', 't13', 't12', 't13', 't12', 't11', 't12']",{'qos': -1},!U.1put(out);,
9,"['t1', 't11', 't12', 't13', 't12', 't13', 't12', 't11', 't12', 't27']",{'qos': -1},!U.output(1);,?U.input(qos);
0,['t1'],{'qos': -1},,?U.input(qos);
1,"['t1', 't27']",{'qos': -1},!U.output(1);,?U.input(qos);
2,"['t1', 't27', 't26']",{'qos': -1},,?U.input(qos);
3,"['t1', 't27', 't26', 't10']",{'qos': -1},,
4,"['t1', 't27', 't26', 't10', 't15']",{'qos': -1},!U.output(1);,?U.input(qos);
5,"['t1', 't27', 't26', 't10', 't15', 't21']",{'qos': -1},,
6,"['t1', 't27', 't26', 't10', 't15', 't21', 't20']",{'qos': -1},!U.0put(out);,
7,"['t1', 't27', 't26', 't10', 't15', 't21', 't20', 't10']",{'qos': -1},,
8,"['t1', 't27', 't26', 't10', 't15', 't21', 't20', 't10', 't15']",{'qos': -1},!U.output(1);,?U.input(qos);
