index,trace,input_val,output_event,input_event
10,"['t197', 't170', 't3', 't116', 't201', 't90', 't203', 't120', 't149', 't38', 't39']",{'qos': 1},!U.output(1);,?U.input(qos);
11,"['t197', 't170', 't3', 't116', 't201', 't90', 't203', 't120', 't149', 't38', 't39', 't152']",{'qos': 1},,
12,"['t197', 't170', 't3', 't116', 't201', 't90', 't203', 't120', 't149', 't38', 't39', 't152', 't125']",{'qos': 0},,
13,"['t197', 't170', 't3', 't116', 't201', 't90', 't203', 't120', 't149', 't38', 't39', 't152', 't125', 't210']",{'qos': 1},!U.output(5);,?U.input(qos);
14,"['t197', 't170', 't3', 't116', 't201', 't90', 't203', 't120', 't149', 't38', 't39', 't152', 't125', 't210', 't155']",{'qos': 1},,
15,"['t197', 't170', 't3', 't116', 't201', 't90', 't203', 't120', 't149', 't38', 't39', 't152', 't125', 't210', 't155', 't16']",{'qos': 1},,
16,"['t197', 't170', 't3', 't116', 't201', 't90', 't203', 't120', 't149', 't38', 't39', 't152', 't125', 't210', 't155', 't16', 't73']",{'qos': 1},,
17,"['t197', 't170', 't3', 't116', 't201', 't90', 't203', 't120', 't149', 't38', 't39', 't152', 't125', 't210', 't155', 't16', 't73', 't74']",{'qos': 1},,
18,"['t197', 't170', 't3', 't116', 't201', 't90', 't203', 't120', 't149', 't38', 't39', 't152', 't125', 't210', 't155', 't16', 't73', 't74', 't159']",{'qos': 1},!U.output(0);,?U.input(qos);
19,"['t197', 't170', 't3', 't116', 't201', 't90', 't203', 't120', 't149', 't38', 't39', 't152', 't125', 't210', 't155', 't16', 't73', 't74', 't159', 't188']",{'qos': 1},,
20,"['t197', 't170', 't3', 't116', 't201', 't90', 't203', 't120', 't149', 't38', 't39', 't152', 't125', 't210', 't155', 't16', 't73', 't74', 't159', 't188', 't217']",{'qos': 1},,
21,"['t197', 't170', 't3', 't116', 't201', 't90', 't203', 't120', 't149', 't38', 't39', 't152', 't125', 't210', 't155', 't16', 't73', 't74', 't159', 't188', 't217', 't190']",{'qos': 1},,
22,"['t197', 't170', 't3', 't116', 't201', 't90', 't203', 't120', 't149', 't38', 't39', 't152', 't125', 't210', 't155', 't16', 't73', 't74', 't159', 't188', 't217', 't190', 't219']",{'qos': 1},!U.output(0);,?U.input(qos);
23,"['t197', 't170', 't3', 't116', 't201', 't90', 't203', 't120', 't149', 't38', 't39', 't152', 't125', 't210', 't155', 't16', 't73', 't74', 't159', 't188', 't217', 't190', 't219', 't52']",{'qos': 1},,
24,"['t197', 't170', 't3', 't116', 't201', 't90', 't203', 't120', 't149', 't38', 't39', 't152', 't125', 't210', 't155', 't16', 't73', 't74', 't159', 't188', 't217', 't190', 't219', 't52', 't221']",{'qos': 1},,
0,['t57'],{'qos': 1},!U.output(1);,?U.input(qos);
1,"['t57', 't142']",{'qos': 1},,
2,"['t57', 't142', 't143']",{'qos': 1},,
3,"['t57', 't142', 't143', 't32']",{'qos': 1},,
4,"['t57', 't142', 't143', 't32', 't117']",{'qos': 0},!U.output(1);,?U.input(qos);
5,"['t57', 't142', 't143', 't32', 't117', 't62']",{'qos': 0},,
6,"['t57', 't142', 't143', 't32', 't117', 't62', 't119']",{'qos': 0},,
7,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120']",{'qos': 1},!U.output(1);,?U.input(qos);
8,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9']",{'qos': 1},!U.output(1);,?U.input(qos);
9,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94']",{'qos': 1},,
10,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67']",{'qos': 1},,
11,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12']",{'qos': 1},!U.output(1);,?U.input(qos);
12,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209']",{'qos': 1},,
13,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182']",{'qos': 1},,
14,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127']",{'qos': 1},,
15,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16']",{'qos': 1},,
16,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129']",{'qos': 1},!U.output(5);,?U.input(qos);
17,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214']",{'qos': 1},,
18,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214', 't131']",{'qos': 1},,
19,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214', 't131', 't76']",{'qos': 1},,
20,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214', 't131', 't76', 't161']",{'qos': 1},,
21,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214', 't131', 't76', 't161', 't190']",{'qos': 1},,
22,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214', 't131', 't76', 't161', 't190', 't191']",{'qos': 1},,
23,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214', 't131', 't76', 't161', 't190', 't191', 't24']",{'qos': 1},!U.output(0);,?U.input(qos);
24,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214', 't131', 't76', 't161', 't190', 't191', 't24', 't221']",{'qos': 1},,
25,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214', 't131', 't76', 't161', 't190', 't191', 't24', 't221', 't194']",{'qos': 1},,
26,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214', 't131', 't76', 't161', 't190', 't191', 't24', 't221', 't194', 't223']",{'qos': 1},,
27,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214', 't131', 't76', 't161', 't190', 't191', 't24', 't221', 't194', 't223', 't28']",{'qos': 1},,
28,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214', 't131', 't76', 't161', 't190', 't191', 't24', 't221', 't194', 't223', 't28', 't141']",{'qos': 0},!U.output(2);,?U.input(qos);
29,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214', 't131', 't76', 't161', 't190', 't191', 't24', 't221', 't194', 't223', 't28', 't141', 't114']",{'qos': 0},!U.output(2);,?U.input(qos);
30,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214', 't131', 't76', 't161', 't190', 't191', 't24', 't221', 't194', 't223', 't28', 't141', 't114', 't115']",{'qos': 0},,
31,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214', 't131', 't76', 't161', 't190', 't191', 't24', 't221', 't194', 't223', 't28', 't141', 't114', 't115', 't172']",{'qos': 0},,
32,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214', 't131', 't76', 't161', 't190', 't191', 't24', 't221', 't194', 't223', 't28', 't141', 't114', 't115', 't172', 't117']",{'qos': 0},!U.output(2);,?U.input(qos);
33,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214', 't131', 't76', 't161', 't190', 't191', 't24', 't221', 't194', 't223', 't28', 't141', 't114', 't115', 't172', 't117', 't62']",{'qos': 0},,
34,"['t57', 't142', 't143', 't32', 't117', 't62', 't119', 't120', 't9', 't94', 't67', 't12', 't209', 't182', 't127', 't16', 't129', 't214', 't131', 't76', 't161', 't190', 't191', 't24', 't221', 't194', 't223', 't28', 't141', 't114', 't115', 't172', 't117', 't62', 't175']",{'qos': 0},,
0,['t113'],{'qos': 1},,
1,"['t113', 't198']",{'qos': 1},!U.output(1);,?U.input(qos);
2,"['t113', 't198', 't171']",{'qos': 1},!U.output(1);,?U.input(qos);
3,"['t113', 't198', 't171', 't88']",{'qos': 1},,
4,"['t113', 't198', 't171', 't88', 't61']",{'qos': 1},,
5,"['t113', 't198', 't171', 't88', 't61', 't202']",{'qos': 1},,
6,"['t113', 't198', 't171', 't88', 't61', 't202', 't63']",{'qos': 1},!U.output(1);,?U.input(qos);
7,"['t113', 't198', 't171', 't88', 't61', 't202', 't63', 't204']",{'qos': 1},!U.output(1);,?U.input(qos);
8,"['t113', 't198', 't171', 't88', 't61', 't202', 't63', 't204', 't37']",{'qos': 0},,
9,"['t113', 't198', 't171', 't88', 't61', 't202', 't63', 't204', 't37', 't150']",{'qos': 0},!U.output(1);,?U.input(qos);
10,"['t113', 't198', 't171', 't88', 't61', 't202', 't63', 't204', 't37', 't150', 't207']",{'qos': 1},!U.output(1);,?U.input(qos);
11,"['t113', 't198', 't171', 't88', 't61', 't202', 't63', 't204', 't37', 't150', 't207', 't152']",{'qos': 1},,
12,"['t113', 't198', 't171', 't88', 't61', 't202', 't63', 't204', 't37', 't150', 't207', 't152', 't69']",{'qos': 1},!U.output(1);,?U.input(qos);
13,"['t113', 't198', 't171', 't88', 't61', 't202', 't63', 't204', 't37', 't150', 't207', 't152', 't69', 't70']",{'qos': 1},,
14,"['t113', 't198', 't171', 't88', 't61', 't202', 't63', 't204', 't37', 't150', 't207', 't152', 't69', 't70', 't15']",{'qos': 1},!U.output(1);,?U.input(qos);
15,"['t113', 't198', 't171', 't88', 't61', 't202', 't63', 't204', 't37', 't150', 't207', 't152', 't69', 't70', 't15', 't184']",{'qos': 1},,
16,"['t113', 't198', 't171', 't88', 't61', 't202', 't63', 't204', 't37', 't150', 't207', 't152', 't69', 't70', 't15', 't184', 't157']",{'qos': 1},,
17,"['t113', 't198', 't171', 't88', 't61', 't202', 't63', 't204', 't37', 't150', 't207', 't152', 't69', 't70', 't15', 't184', 't157', 't130']",{'qos': 1},,
18,"['t113', 't198', 't171', 't88', 't61', 't202', 't63', 't204', 't37', 't150', 't207', 't152', 't69', 't70', 't15', 't184', 't157', 't130', 't19']",{'qos': 1},,
19,"['t113', 't198', 't171', 't88', 't61', 't202', 't63', 't204', 't37', 't150', 't207', 't152', 't69', 't70', 't15', 't184', 't157', 't130', 't19', 't216']",{'qos': 1},!U.output(1);,?U.input(qos);
20,"['t113', 't198', 't171', 't88', 't61', 't202', 't63', 't204', 't37', 't150', 't207', 't152', 't69', 't70', 't15', 't184', 't157', 't130', 't19', 't216', 't133']",{'qos': 1},,
21,"['t113', 't198', 't171', 't88', 't61', 't202', 't63', 't204', 't37', 't150', 't207', 't152', 't69', 't70', 't15', 't184', 't157', 't130', 't19', 't216', 't133', 't190']",{'qos': 1},,
0,['t1'],{'qos': 1},,
1,"['t1', 't86']",{'qos': 1},,
2,"['t1', 't86', 't115']",{'qos': 1},,
3,"['t1', 't86', 't115', 't144']",{'qos': 1},!U.output(1);,?U.input(qos);
4,"['t1', 't86', 't115', 't144', 't33']",{'qos': 1},!U.output(1);,?U.input(qos);
5,"['t1', 't86', 't115', 't144', 't33', 't202']",{'qos': 1},,
6,"['t1', 't86', 't115', 't144', 't33', 't202', 't63']",{'qos': 1},!U.output(1);,?U.input(qos);
7,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8']",{'qos': 1},,
8,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205']",{'qos': 1},,
9,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206']",{'qos': 1},,
10,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11']",{'qos': 0},,
11,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68']",{'qos': 0},,
12,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209']",{'qos': 0},,
13,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210']",{'qos': 1},!U.output(5);,?U.input(qos);
14,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15']",{'qos': 1},!U.output(5);,?U.input(qos);
15,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16']",{'qos': 1},,
16,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157']",{'qos': 1},,
17,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157', 't46']",{'qos': 1},,
18,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157', 't46', 't215']",{'qos': 1},,
19,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157', 't46', 't215', 't132']",{'qos': 1},!U.output(0);,?U.input(qos);
20,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157', 't46', 't215', 't132', 't77']",{'qos': 1},,
21,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157', 't46', 't215', 't132', 't77', 't134']",{'qos': 1},,
22,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157', 't46', 't215', 't132', 't77', 't134', 't23']",{'qos': 1},,
23,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157', 't46', 't215', 't132', 't77', 't134', 't23', 't220']",{'qos': 1},,
24,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157', 't46', 't215', 't132', 't77', 't134', 't23', 't220', 't25']",{'qos': 1},,
25,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157', 't46', 't215', 't132', 't77', 't134', 't23', 't220', 't25', 't110']",{'qos': 1},,
26,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157', 't46', 't215', 't132', 't77', 't134', 't23', 't220', 't25', 't110', 't167']",{'qos': 1},,
27,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157', 't46', 't215', 't132', 't77', 't134', 't23', 't220', 't25', 't110', 't167', 't56']",{'qos': 1},,
28,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157', 't46', 't215', 't132', 't77', 't134', 't23', 't220', 't25', 't110', 't167', 't56', 't85']",{'qos': 1},,
29,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157', 't46', 't215', 't132', 't77', 't134', 't23', 't220', 't25', 't110', 't167', 't56', 't85', 't2']",{'qos': 1},,
30,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157', 't46', 't215', 't132', 't77', 't134', 't23', 't220', 't25', 't110', 't167', 't56', 't85', 't2', 't3']",{'qos': 1},!U.output(1);,?U.input(qos);
31,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157', 't46', 't215', 't132', 't77', 't134', 't23', 't220', 't25', 't110', 't167', 't56', 't85', 't2', 't3', 't88']",{'qos': 1},,
32,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157', 't46', 't215', 't132', 't77', 't134', 't23', 't220', 't25', 't110', 't167', 't56', 't85', 't2', 't3', 't88', 't5']",{'qos': 0},,
33,"['t1', 't86', 't115', 't144', 't33', 't202', 't63', 't8', 't205', 't206', 't11', 't68', 't209', 't210', 't15', 't16', 't157', 't46', 't215', 't132', 't77', 't134', 't23', 't220', 't25', 't110', 't167', 't56', 't85', 't2', 't3', 't88', 't5', 't118']",{'qos': 0},,
