index,trace,input_val,output_event,input_event
0,['t1'],"{'opt_ind': 1, 'cr': 1, 'accpt_opt': 0, 'Send_sq': 0, 'XpSsq': 0}",!U.TCONind();,"?N.TrCR(opt_ind,cr);"
1,"['t1', 't6']","{'opt_ind': 1, 'cr': 1, 'accpt_opt': 0, 'Send_sq': 0, 'XpSsq': 0}",!N.TrDR();,?U.TDISreq();
2,"['t1', 't6', 't18']","{'opt_ind': 1, 'cr': 1, 'accpt_opt': 0, 'Send_sq': 0, 'XpSsq': 0}",!U.TDISconf();,?N.terminated();
3,"['t1', 't6', 't18', 't1']","{'opt_ind': 1, 'cr': 1, 'accpt_opt': 0, 'Send_sq': 0, 'XpSsq': 0}",!U.TCONind();,"?N.TrCR(opt_ind,cr);"
4,"['t1', 't6', 't18', 't1', 't5']","{'opt_ind': 1, 'cr': 1, 'accpt_opt': -1, 'Send_sq': 0, 'XpSsq': 0}",!N.TrCC();,?U.TCONresp(accpt_opt);
5,"['t1', 't6', 't18', 't1', 't5', 't12']","{'opt_ind': 1, 'cr': 1, 'accpt_opt': -1, 'Send_sq': 1, 'XpSsq': 0}",!U.error();!N.error();,"?N.TrAK(XpSsq,cr);"
6,"['t1', 't6', 't18', 't1', 't5', 't12', 't9']","{'opt_ind': 1, 'cr': 1, 'accpt_opt': -1, 'Send_sq': 1, 'XpSsq': 0}",!U.error();!N.error();,?N.TrDT(Send_sq);
7,"['t1', 't6', 't18', 't1', 't5', 't12', 't9', 't14']","{'opt_ind': 1, 'cr': 1, 'accpt_opt': -1, 'Send_sq': 1, 'XpSsq': 1}",!U.error();!N.error();,"?N.TrAK(XpSsq,cr);"
8,"['t1', 't6', 't18', 't1', 't5', 't12', 't9', 't14', 't17']","{'opt_ind': 1, 'cr': 1, 'accpt_opt': -1, 'Send_sq': 1, 'XpSsq': 1}",!U.TDISind();!N.TrDC();,?N.TrDR();
9,"['t1', 't6', 't18', 't1', 't5', 't12', 't9', 't14', 't17', 't18']","{'opt_ind': 1, 'cr': 1, 'accpt_opt': -1, 'Send_sq': 1, 'XpSsq': 1}",!U.TDISconf();,?N.terminated();
0,['t4'],"{'opt_ind': 1, 'cr': 1, 'accpt_opt': 0, 'Send_sq': 0, 'XpSsq': 0}",!U.TDISind();!N.terminated();,?N.TrDR();
1,"['t4', 't2']","{'opt_ind': -1, 'cr': 1, 'accpt_opt': -1, 'Send_sq': 1, 'XpSsq': 1}",!U.TCONconf();,"?N.TrCC(opt_ind,cr);"
2,"['t4', 't2', 't9']","{'opt_ind': -1, 'cr': 1, 'accpt_opt': -1, 'Send_sq': 1, 'XpSsq': 1}",!U.error();!N.error();,?N.TrDT(Send_sq);
3,"['t4', 't2', 't9', 't9']","{'opt_ind': -1, 'cr': -89, 'accpt_opt': -1, 'Send_sq': 1, 'XpSsq': 88}",!U.error();!N.error();,?N.TrDT(Send_sq);
4,"['t4', 't2', 't9', 't9', 't15']","{'opt_ind': -1, 'cr': -89, 'accpt_opt': -1, 'Send_sq': 1, 'XpSsq': 88}",!U.Ready();,?N.Ready();
5,"['t4', 't2', 't9', 't9', 't15', 't10']","{'opt_ind': -1, 'cr': -85, 'accpt_opt': -1, 'Send_sq': 1, 'XpSsq': 6}",!N.TrAK();,?U.READY(cr);
6,"['t4', 't2', 't9', 't9', 't15', 't10', 't15']","{'opt_ind': -1, 'cr': -85, 'accpt_opt': -1, 'Send_sq': 1, 'XpSsq': 6}",!U.Ready();,?N.Ready();
0,['t1'],"{'opt_ind': -1, 'cr': -45, 'accpt_opt': -1, 'Send_sq': 1, 'XpSsq': 29}",!U.TCONind();,"?N.TrCR(opt_ind,cr);"
1,"['t1', 't6']","{'opt_ind': -1, 'cr': -45, 'accpt_opt': -1, 'Send_sq': 1, 'XpSsq': 29}",!N.TrDR();,?U.TDISreq();
2,"['t1', 't6', 't18']","{'opt_ind': -1, 'cr': -45, 'accpt_opt': -1, 'Send_sq': 1, 'XpSsq': 29}",!U.TDISconf();,?N.terminated();
3,"['t1', 't6', 't18', 't1']","{'opt_ind': -1, 'cr': -45, 'accpt_opt': -1, 'Send_sq': 1, 'XpSsq': 29}",!U.TCONind();,"?N.TrCR(opt_ind,cr);"
4,"['t1', 't6', 't18', 't1', 't6']","{'opt_ind': -1, 'cr': -45, 'accpt_opt': -1, 'Send_sq': 1, 'XpSsq': 29}",!N.TrDR();,?U.TDISreq();
