,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,combine
median_Examscore(%),50.0,42.86,47.62,47.62,42.86,47.62,47.62,47.62,38.1,66.67,50.0,69.05000000000001,47.62,47.62,38.1,47.62,19.05
mean_Examscore(%),45.833,45.952,45.47599999999999,47.380250000000004,43.92899999999999,45.11825,45.11825,47.380250000000004,44.404,60.00075,53.213499999999996,65.4765,45.83225,47.023,44.880250000000004,47.6195,25.714249999999993
sd_Examscore(%),24.81788914348804,24.38942133016921,24.753694238669475,22.949994859225164,25.39251028278887,24.208762440700195,24.208762440700195,22.949994859225164,29.102975510929177,29.072473313278362,25.56182275010318,22.818079600761024,23.06972758194444,22.930756436917445,28.952523869214506,25.814065133526505,23.572163057682012
Total_acc1,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,11.0
Total_acc2,4.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,5.0,5.0,2.0,2.0,3.0,4.0,4.0,4.0,15.0
Total_acc3,6.0,5.0,6.0,6.0,8.0,8.0,8.0,6.0,8.0,5.0,3.0,2.0,5.0,6.0,8.0,6.0,19.0
Total_acc5,12.0,12.0,12.0,9.0,13.0,11.0,11.0,9.0,14.0,7.0,6.0,2.0,9.0,9.0,14.0,9.0,25.0
rate_acc1,0.05,0.05,0.05,0.05,0.025,0.025,0.025,0.05,0.075,0.05,0.025,0.0,0.025,0.025,0.05,0.025,0.275
rate_acc2,0.1,0.1,0.1,0.1,0.1,0.15,0.15,0.1,0.125,0.125,0.05,0.05,0.075,0.1,0.1,0.1,0.375
rate_acc3,0.15,0.125,0.15,0.15,0.2,0.2,0.2,0.15,0.2,0.125,0.075,0.05,0.125,0.15,0.2,0.15,0.475
rate_acc5,0.3,0.3,0.3,0.225,0.325,0.275,0.275,0.225,0.35,0.175,0.15,0.05,0.225,0.225,0.35,0.225,0.625
