,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,combine
median_Examscore(%),58.82,58.82,11.76,23.53,11.76,11.76,5.88,23.53,11.76,35.29,5.88,11.76,11.76,11.76,58.82,11.76,5.88
mean_Examscore(%),41.91000000000001,41.91000000000001,36.02583333333333,26.716666666666658,12.986666666666665,14.457499999999996,17.891249999999996,26.716666666666658,11.025833333333331,36.76374999999999,13.477499999999997,14.457499999999996,14.457499999999996,14.457499999999996,43.870000000000026,14.457499999999996,9.80083333333333
sd_Examscore(%),31.85837286709932,31.85837286709932,34.269927610162775,14.195893670405162,12.6261311733166,17.518277722077194,18.3160510060581,14.195893670405162,6.328948615663596,13.576031888877774,17.81622324931873,17.518277722077194,17.518277722077194,17.518277722077194,34.12240612852499,17.518277722077194,6.642964841398605
Total_acc1,9.0,9.0,5.0,0.0,9.0,9.0,13.0,0.0,9.0,0.0,13.0,9.0,9.0,9.0,9.0,9.0,14.0
Total_acc2,9.0,9.0,14.0,0.0,22.0,22.0,13.0,0.0,22.0,0.0,22.0,22.0,22.0,22.0,9.0,22.0,22.0
Total_acc3,9.0,9.0,14.0,8.0,22.0,22.0,13.0,8.0,22.0,0.0,22.0,22.0,22.0,22.0,9.0,22.0,22.0
Total_acc5,11.0,11.0,14.0,22.0,22.0,22.0,22.0,22.0,24.0,8.0,22.0,22.0,22.0,22.0,11.0,22.0,24.0
rate_acc1,0.375,0.375,0.20833333333333334,0.0,0.375,0.375,0.5416666666666666,0.0,0.375,0.0,0.5416666666666666,0.375,0.375,0.375,0.375,0.375,0.5833333333333334
rate_acc2,0.375,0.375,0.5833333333333334,0.0,0.9166666666666666,0.9166666666666666,0.5416666666666666,0.0,0.9166666666666666,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.375,0.9166666666666666,0.9166666666666666
rate_acc3,0.375,0.375,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.9166666666666666,0.5416666666666666,0.3333333333333333,0.9166666666666666,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.375,0.9166666666666666,0.9166666666666666
rate_acc5,0.4583333333333333,0.4583333333333333,0.5833333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,0.3333333333333333,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.4583333333333333,0.9166666666666666,1.0
