,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,24,5,1247,1526,1011,8,9,combine
median_Examscore(%),28.57,23.81,28.57,38.095,28.57,33.33,33.33,38.095,47.620000000000005,59.525000000000006,66.67,78.57,33.33,35.715,47.620000000000005,33.33,23.81,30.955,23.81,28.57,23.81,19.05,23.81,9.52
mean_Examscore(%),34.40425,33.570999999999984,34.28524999999999,38.928249999999984,36.66699999999999,39.16599999999998,39.16599999999998,38.928249999999984,48.09475,56.30925,60.47625000000001,68.33374999999998,39.04699999999998,38.928249999999984,48.69025,40.000499999999995,31.190249999999985,36.19,31.904000000000003,37.50074999999998,33.57174999999999,29.28524999999999,32.14324999999999,15.713499999999993
sd_Examscore(%),23.88171415995821,23.89323472535742,24.093099766243316,25.675052132121944,26.109497358388428,24.64948574904368,24.64948574904368,25.675052132121944,37.66262937207052,37.416988832203366,30.73279219898761,27.271355375896913,24.66605018633652,25.172032800719787,37.30064064119529,28.506979167952032,24.942148395889316,26.715901919729664,28.165812045902886,29.2795757454464,26.28138893877723,24.744741268574984,26.91081618286976,13.985651539143928
Total_acc1,4.0,4.0,5.0,6.0,1.0,1.0,1.0,6.0,6.0,6.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,6.0,9.0,7.0,6.0,6.0,8.0,16.0
Total_acc2,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,11.0,3.0,4.0,7.0,8.0,8.0,8.0,10.0,10.0,12.0,8.0,10.0,12.0,11.0,21.0
Total_acc3,11.0,9.0,11.0,12.0,13.0,10.0,10.0,12.0,13.0,11.0,7.0,4.0,8.0,12.0,13.0,12.0,15.0,13.0,15.0,10.0,13.0,18.0,15.0,27.0
Total_acc5,17.0,22.0,17.0,14.0,18.0,16.0,16.0,14.0,19.0,13.0,7.0,4.0,15.0,15.0,19.0,16.0,24.0,20.0,21.0,20.0,22.0,23.0,22.0,32.0
rate_acc1,0.1,0.1,0.125,0.15,0.025,0.025,0.025,0.15,0.15,0.15,0.025,0.05,0.05,0.05,0.1,0.05,0.025,0.15,0.225,0.175,0.15,0.15,0.2,0.4
rate_acc2,0.2,0.225,0.225,0.2,0.2,0.2,0.2,0.2,0.25,0.275,0.075,0.1,0.175,0.2,0.2,0.2,0.25,0.25,0.3,0.2,0.25,0.3,0.275,0.525
rate_acc3,0.275,0.225,0.275,0.3,0.325,0.25,0.25,0.3,0.325,0.275,0.175,0.1,0.2,0.3,0.325,0.3,0.375,0.325,0.375,0.25,0.325,0.45,0.375,0.675
rate_acc5,0.425,0.55,0.425,0.35,0.45,0.4,0.4,0.35,0.475,0.325,0.175,0.1,0.375,0.375,0.475,0.4,0.6,0.5,0.525,0.5,0.55,0.575,0.55,0.8
