,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1,1295,83,3,96,1261,1229,23,combine
median_Examscore(%),47.825,43.480000000000004,41.305,54.345,39.13,54.345,54.345,54.345,50.0,50.0,54.345,54.345,54.345,54.345,47.825,54.345,39.129999999999995,30.43,45.655,47.825,41.305,52.175,39.13,34.78,43.48
mean_Examscore(%),48.36875,44.7475,46.5575,46.55916666666667,43.840833333333336,46.55916666666667,46.55916666666667,46.55916666666667,44.02250000000001,46.55874999999998,46.377916666666664,46.377916666666664,46.55916666666667,46.377916666666664,55.25166666666666,46.377916666666664,37.500416666666666,38.94875,41.48666666666668,41.84791666666667,38.768750000000004,45.471666666666664,36.41375,34.60208333333333,38.40666666666667
sd_Examscore(%),25.265236180157316,23.796014143768588,26.071205547416717,31.33856034492895,30.49962721321242,31.33856034492895,31.33856034492895,31.33856034492895,29.30066170049674,30.434421489705425,31.474378258757742,31.474378258757742,31.33856034492895,31.474378258757742,32.44672619201682,31.474378258757742,26.362304524051776,28.30754766650238,27.287371608041735,27.10016588737398,25.41373478575846,30.0670197286382,26.30119782567359,24.13860681458802,25.24286152501366
Total_acc1,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,2.0
Total_acc2,2.0,2.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0
Total_acc3,3.0,3.0,3.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,6.0,7.0,6.0,7.0,5.0,7.0,7.0,7.0
Total_acc5,4.0,4.0,5.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,4.0,10.0,9.0,8.0,9.0,7.0,10.0,8.0,9.0,9.0,8.0
rate_acc1,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.041666666666666664,0.16666666666666666,0.041666666666666664,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333
rate_acc2,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.16666666666666666,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.125,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.08333333333333333,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.25,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.25,0.25
rate_acc3,0.125,0.125,0.125,0.2916666666666667,0.20833333333333334,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.125,0.2916666666666667,0.2916666666666667,0.25,0.2916666666666667,0.25,0.2916666666666667,0.20833333333333334,0.2916666666666667,0.2916666666666667,0.2916666666666667
rate_acc5,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.375,0.2916666666666667,0.375,0.375,0.375,0.375,0.375,0.4166666666666667,0.4166666666666667,0.375,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.375,0.3333333333333333,0.375,0.2916666666666667,0.4166666666666667,0.3333333333333333,0.375,0.375,0.3333333333333333
