,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1,1333,9,423,1711,combine
ATMMut101_T12,2.0,2.0,4.0,20.0,12.0,20.0,20.0,20.0,2.0,30.0,30.0,30.0,20.0,20.0,2.0,19.0,2.0,2.0,2.0,2.0,2.0,8.0
ATMMut192_T18,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,29.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0
ATMMut64_T16,2.0,2.0,4.0,19.0,14.0,19.0,19.0,19.0,4.0,30.0,30.0,30.0,19.0,19.0,2.0,19.0,2.0,2.0,2.0,2.0,2.0,8.0
ATMMut182_T20,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0,7.0
ATMMut73_T17,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,25.0,2.0,1.0,3.0,1.0,6.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0
ATMMut3_T23,2.0,2.0,4.0,26.0,6.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,22.0,2.0,2.0,2.0,2.0,2.0,5.0
ATMMut186_T15,4.0,4.0,5.0,6.0,2.0,2.0,2.0,6.0,1.0,29.0,6.0,6.0,4.0,6.0,4.0,6.0,1.0,1.0,1.0,4.0,1.0,3.0
ATMMut19_T6,2.0,2.0,4.0,8.0,4.0,8.0,8.0,8.0,2.0,30.0,30.0,30.0,8.0,8.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,12.0
ATMMut133_T17,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,25.0,2.0,1.0,3.0,1.0,6.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0
ATMMut189_T22,2.0,2.0,4.0,27.0,12.0,27.0,27.0,27.0,6.0,30.0,30.0,30.0,27.0,27.0,2.0,21.0,2.0,2.0,2.0,2.0,3.0,7.0
ATMMut34_T1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATMMut9_T16,2.0,2.0,4.0,19.0,14.0,19.0,19.0,19.0,4.0,30.0,30.0,30.0,19.0,19.0,2.0,19.0,2.0,2.0,2.0,2.0,2.0,8.0
ATMMut194_T22,2.0,2.0,4.0,27.0,12.0,27.0,27.0,27.0,6.0,30.0,30.0,30.0,27.0,27.0,2.0,21.0,2.0,2.0,2.0,2.0,3.0,7.0
ATMMut131_T23,2.0,2.0,4.0,26.0,6.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,22.0,2.0,2.0,2.0,2.0,2.0,5.0
ATMMut130_T29,2.0,5.0,6.0,8.0,3.0,3.0,3.0,8.0,2.0,29.0,8.0,7.0,5.0,7.0,2.0,7.0,1.0,1.0,1.0,2.0,2.0,7.0
ATMMut141_T18,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,29.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0
ATMMut13_T22,2.0,2.0,4.0,27.0,12.0,27.0,27.0,27.0,6.0,30.0,30.0,30.0,27.0,27.0,2.0,21.0,2.0,2.0,2.0,2.0,3.0,7.0
ATMMut147_T23,2.0,2.0,4.0,26.0,6.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,22.0,2.0,2.0,2.0,2.0,2.0,5.0
ATMMut17_T1,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,29.0,1.0,2.0,2.0,1.0,2.0,29.0,2.0,3.0,3.0,4.0,3.0,29.0,20.0
ATMMut12_T21,2.0,2.0,4.0,25.0,12.0,25.0,25.0,25.0,2.0,30.0,30.0,30.0,25.0,25.0,2.0,18.0,2.0,2.0,2.0,2.0,2.0,8.0
ATMMut125_T5,2.0,2.0,4.0,8.0,4.0,8.0,8.0,8.0,2.0,30.0,30.0,30.0,8.0,8.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,16.0
ATMMut81_T24,2.0,2.0,4.0,24.0,4.0,24.0,24.0,24.0,2.0,30.0,30.0,30.0,24.0,24.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,6.0
ATMMut156_T2,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,23.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
ATMMut172_T19,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0,7.0
ATMMut109_T30,2.0,2.0,4.0,30.0,8.0,30.0,30.0,30.0,2.0,30.0,30.0,30.0,30.0,30.0,2.0,12.0,2.0,3.0,2.0,2.0,2.0,7.0
ATMMut29_T19,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0,7.0
ATMMut11_T21,2.0,2.0,4.0,25.0,12.0,25.0,25.0,25.0,2.0,30.0,30.0,30.0,25.0,25.0,2.0,18.0,2.0,2.0,2.0,2.0,2.0,8.0
ATMMut69_T16,2.0,2.0,4.0,19.0,14.0,19.0,19.0,19.0,4.0,30.0,30.0,30.0,19.0,19.0,2.0,19.0,2.0,2.0,2.0,2.0,2.0,8.0
