ATMMut75_T19,25,0.1
ATMMut76_T14,0,0.0
ATMMut77_T22,34,0.136
ATMMut78_T17,11,0.044
ATMMut79_T4,0,0.0
ATMMut80_T28,0,0.0
ATMMut81_T24,71,0.284
ATMMut82_T3,0,0.0
ATMMut83_T6,105,0.42
ATMMut84_T16,17,0.068
ATMMut85_T1,250,1.0
ATMMut86_T2,0,0.0
ATMMut87_T29,14,0.056
ATMMut88_T6,157,0.628
ATMMut89_T17,0,0.0
ATMMut90_T14,2,0.008
ATMMut91_T3,0,0.0
ATMMut92_T14,0,0.0
ATMMut93_T28,11,0.044
ATMMut94_T19,25,0.1
ATMMut95_T16,0,0.0
ATMMut96_T27,2,0.008
ATMMut97_T17,11,0.044
ATMMut98_T1,45,0.18
ATMMut99_T5,114,0.456
