,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2594,499,2608,896,combine
median_Examscore(%),23.53,23.53,11.76,23.53,11.76,11.76,23.53,23.53,11.76,35.29,11.76,11.76,11.76,11.76,23.53,11.76,5.88,11.76,5.88,11.76,5.88
mean_Examscore(%),33.086666666666666,33.086666666666666,28.182499999999994,35.53999999999999,19.849999999999998,24.262500000000003,28.676249999999996,35.53999999999999,13.9675,44.60708333333333,24.2625,24.262500000000003,24.262500000000003,24.262500000000003,34.06666666666666,24.262500000000003,12.7425,13.9675,12.7425,13.9675,12.7425
sd_Examscore(%),28.01341319512101,28.01341319512101,27.15003855390008,20.994066242424413,19.687967634197733,27.445980817662146,25.922921502776852,20.994066242424413,9.47158507922742,16.98976916678328,27.445980817662143,27.445980817662146,27.445980817662146,27.445980817662146,29.639339555316717,27.445980817662146,10.06502608044311,9.47158507922742,10.06502608044311,9.47158507922742,10.06502608044311
Total_acc1,9.0,9.0,5.0,0.0,9.0,9.0,9.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,14.0,9.0,14.0,9.0,14.0
Total_acc2,9.0,9.0,14.0,0.0,18.0,18.0,9.0,0.0,18.0,0.0,18.0,18.0,18.0,18.0,9.0,18.0,18.0,18.0,18.0,18.0,18.0
Total_acc3,9.0,9.0,14.0,4.0,18.0,18.0,9.0,4.0,18.0,0.0,18.0,18.0,18.0,18.0,9.0,18.0,18.0,18.0,18.0,18.0,18.0
Total_acc5,15.0,15.0,14.0,18.0,18.0,18.0,18.0,18.0,24.0,4.0,18.0,18.0,18.0,18.0,15.0,18.0,24.0,24.0,24.0,24.0,24.0
rate_acc1,0.375,0.375,0.20833333333333334,0.0,0.375,0.375,0.375,0.0,0.375,0.0,0.375,0.375,0.375,0.375,0.375,0.375,0.5833333333333334,0.375,0.5833333333333334,0.375,0.5833333333333334
rate_acc2,0.375,0.375,0.5833333333333334,0.0,0.75,0.75,0.375,0.0,0.75,0.0,0.75,0.75,0.75,0.75,0.375,0.75,0.75,0.75,0.75,0.75,0.75
rate_acc3,0.375,0.375,0.5833333333333334,0.16666666666666666,0.75,0.75,0.375,0.16666666666666666,0.75,0.0,0.75,0.75,0.75,0.75,0.375,0.75,0.75,0.75,0.75,0.75,0.75
rate_acc5,0.625,0.625,0.5833333333333334,0.75,0.75,0.75,0.75,0.75,1.0,0.16666666666666666,0.75,0.75,0.75,0.75,0.625,0.75,1.0,1.0,1.0,1.0,1.0
