,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2218,1041,1725,2301,combine
median_Examscore(%),45.68,45.68,28.4,32.1,28.4,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,45.68,32.1,29.63,29.63,29.63,29.63,29.63
mean_Examscore(%),50.147619047619045,50.147619047619045,42.15047619047619,40.56428571428571,42.15047619047619,40.56428571428571,40.68190476190476,40.56428571428571,40.56428571428571,40.56428571428571,40.56428571428571,40.56428571428571,40.56428571428571,40.56428571428571,50.32380952380952,40.56428571428571,38.38904761904762,38.38904761904762,38.38904761904762,38.38904761904762,38.38904761904762
sd_Examscore(%),34.08510875804299,34.08510875804299,33.42092630017763,32.69653874210978,33.42092630017763,32.69653874210978,32.55209050415159,32.69653874210978,32.69653874210978,32.69653874210978,32.69653874210978,32.69653874210978,32.69653874210978,32.69653874210978,34.339759969485876,32.69653874210978,32.27021643942939,32.27021643942939,32.27021643942939,32.27021643942939,32.27021643942939
Total_acc1,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
Total_acc2,1.0,1.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0
Total_acc3,1.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0
Total_acc5,1.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0
rate_acc1,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
rate_acc2,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.19047619047619047,0.14285714285714285,0.19047619047619047,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.047619047619047616,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
rate_acc3,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.19047619047619047,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.047619047619047616,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
rate_acc5,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.19047619047619047,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.047619047619047616,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
