,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2512,720,2510,combine
MLSMut22_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,49.0,49.0,49.0
MLSMut111_T69,65.0,65.0,66.0,69.0,66.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,65.0,69.0,67.0,67.0,67.0,67.0
MLSMut158_T27,23.0,23.0,24.0,27.0,24.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,23.0,27.0,25.0,25.0,25.0,25.0
MLSMut161_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,1.0,1.0
MLSMut191_T1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut169_T26,22.0,22.0,23.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0,24.0,24.0,24.0
MLSMut173_T26,22.0,22.0,23.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0,24.0,24.0,24.0
MLSMut124_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,49.0,49.0,49.0
MLSMut127_T26,22.0,22.0,23.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0,24.0,24.0,24.0
MLSMut131_T26,22.0,22.0,23.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0,24.0,24.0,24.0
MLSMut182_T27,23.0,23.0,24.0,27.0,24.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,23.0,27.0,25.0,25.0,25.0,25.0
MLSMut18_T1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLSMut122_T76,72.0,72.0,73.0,76.0,73.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,72.0,76.0,74.0,74.0,74.0,74.0
MLSMut17_T21,17.0,17.0,18.0,21.0,18.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.0,21.0,19.0,19.0,19.0,19.0
MLSMut104_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,1.0,1.0
MLSMut177_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,49.0,49.0,49.0
MLSMut168_T1,79.0,77.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,77.0,1.0,1.0,1.0
MLSMut167_T41,37.0,37.0,38.0,41.0,38.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,37.0,41.0,39.0,39.0,39.0,39.0
MLSMut171_T76,72.0,72.0,73.0,76.0,73.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,72.0,76.0,74.0,74.0,74.0,74.0
MLSMut184_T9,8.0,8.0,9.0,12.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,12.0,9.0,9.0,9.0,9.0
MLSMut187_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,49.0,49.0,49.0
