,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1810,1646,1085,495,2117,1323,combine
ATMMut170_T21,2.0,2.0,4.0,25.0,12.0,25.0,25.0,25.0,2.0,30.0,30.0,30.0,25.0,25.0,2.0,18.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut108_T18,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,29.0,2.0,1.0,3.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0
ATMMut34_T1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATMMut65_T24,2.0,2.0,4.0,24.0,4.0,24.0,24.0,24.0,2.0,30.0,30.0,30.0,24.0,24.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut99_T5,2.0,2.0,4.0,8.0,4.0,8.0,8.0,8.0,2.0,30.0,30.0,30.0,8.0,8.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut3_T23,2.0,2.0,4.0,26.0,6.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut110_T22,2.0,2.0,4.0,27.0,12.0,27.0,27.0,27.0,6.0,30.0,30.0,30.0,27.0,27.0,2.0,21.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
ATMMut98_T1,12.0,5.0,1.0,1.0,10.0,5.0,5.0,1.0,29.0,1.0,1.0,1.0,1.0,1.0,29.0,1.0,5.0,6.0,5.0,5.0,5.0,29.0,2.0
ATMMut74_T16,2.0,2.0,4.0,19.0,14.0,19.0,19.0,19.0,4.0,30.0,30.0,30.0,19.0,19.0,2.0,19.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut177_T15,2.0,2.0,4.0,18.0,11.0,18.0,18.0,18.0,4.0,30.0,30.0,30.0,18.0,18.0,2.0,16.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
