,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,combine
SCPMut247_T5,1.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut248_T3,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0
SCPMut249_T5,1.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut250_T2,1.0,1.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut251_T4,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0
SCPMut252_T2,1.0,1.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut256_T2,1.0,1.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut257_T5,1.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut258_T2,1.0,1.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut260_T1,4.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,8.0,1.0,3.0,3.0,1.0,3.0,8.0,3.0,3.0
SCPMut261_T4,1.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,7.0,6.0,7.0,4.0,4.0,1.0,4.0,1.0
SCPMut262_T4,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0
SCPMut263_T2,1.0,1.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut264_T3,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0
SCPMut265_T1,4.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,8.0,1.0,3.0,3.0,1.0,3.0,8.0,3.0,3.0
SCPMut266_T2,8.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0
SCPMut267_T4,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0
SCPMut269_T2,8.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0
SCPMut270_T4,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0
SCPMut271_T4,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0
SCPMut272_T5,1.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut273_T5,1.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut274_T5,1.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut275_T5,1.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut276_T5,1.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut277_T5,1.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut279_T4,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0
SCPMut280_T2,8.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0
SCPMut281_T3,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0
SCPMut282_T5,1.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut283_T5,1.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut284_T2,1.0,1.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut285_T1,4.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,8.0,1.0,3.0,3.0,1.0,3.0,8.0,3.0,3.0
SCPMut286_T1,4.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,8.0,1.0,3.0,3.0,1.0,3.0,8.0,3.0,3.0
SCPMut287_T5,1.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut288_T1,4.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,8.0,1.0,4.0,4.0,2.0,4.0,8.0,4.0,1.0
SCPMut289_T5,1.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut290_T3,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0
SCPMut291_T5,1.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut292_T3,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0
SCPMut293_T2,1.0,1.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut295_T2,8.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0
SCPMut296_T4,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0
SCPMut297_T4,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,6.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0
SCPMut298_T5,1.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,8.0,7.0,8.0,5.0,5.0,1.0,5.0,1.0
SCPMut300_T3,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0
