0 qid:1 1110:0.645676 2115:0.365661 484:0.835304 419:0.686453 2317:0.687646 2736:0.942561
0 qid:1 1110:0.135406 2115:0.163361 484:0.088157 419:0.153301 2317:0.477015 2736:0.734312
0 qid:1 1110:1.000000 2115:0.741602 484:1.000000 419:1.000000 2317:1.000000 2736:1.000000
0 qid:1 1110:0.812435 2115:0.977027 484:0.947016 419:0.249590 2317:0.920005 2736:0.964575
0 qid:1 1110:0.607164 2115:0.320934 484:0.435521 419:0.385859 2317:0.000000 2736:0.873644
0 qid:1 1110:0.817643 2115:0.982808 484:0.965972 419:0.250204 2317:0.926026 2736:0.966346
0 qid:1 1110:0.182277 2115:0.000000 484:0.124441 419:0.161498 2317:0.381748 2736:0.750253
0 qid:1 1110:0.790876 2115:0.953646 484:0.903972 419:0.232288 2317:0.884968 2736:0.866270
0 qid:1 1110:0.833267 2115:1.000000 484:0.923871 419:0.252040 2317:0.943904 2736:0.971660
0 qid:1 1110:0.481835 2115:0.437753 484:0.459573 419:0.000000 2317:0.287999 2736:0.126771
0 qid:1 1110:0.566760 2115:0.564830 484:0.567296 419:0.046070 2317:0.442336 2736:0.573634
0 qid:1 1110:0.782782 2115:0.935829 484:0.894258 419:0.200622 2317:0.855206 2736:0.916656
0 qid:1 1110:0.609326 2115:0.727396 484:0.594859 419:0.224493 2317:0.653436 2736:0.895496
0 qid:1 1110:0.833267 2115:1.000000 484:0.923871 419:0.252040 2317:0.943904 2736:0.971660
0 qid:1 1110:0.592207 2115:0.653313 484:0.593267 419:0.124991 2317:0.555722 2736:0.390878
1 qid:1 1110:0.796811 2115:0.959531 484:0.905136 419:0.247739 2317:0.901747 2736:0.959261
0 qid:1 1110:0.428856 2115:0.309269 484:0.403592 419:0.060491 2317:0.085577 2736:0.000000
0 qid:1 1110:0.348931 2115:0.272942 484:0.277647 419:0.188214 2317:0.055255 2736:0.806933
0 qid:1 1110:0.000000 2115:0.466674 484:0.000000 419:0.127299 2317:0.698410 2736:0.688259
0 qid:1 1110:0.636355 2115:0.727396 484:0.653438 419:0.153951 2317:0.639829 2736:0.496521
0 qid:1 1110:0.619742 2115:0.741602 484:0.609665 419:0.225839 2317:0.669048 2736:0.899038
0 qid:2 1110:0.662479 2115:0.497583 484:1.000000 419:0.483715 2317:0.695928 2736:0.751805
0 qid:2 1110:0.063963 2115:0.172705 484:0.080143 419:0.209361 2317:0.439939 2736:0.101083
0 qid:2 1110:1.000000 2115:0.845197 484:0.882590 419:1.000000 2317:1.000000 2736:1.000000
0 qid:2 1110:0.367790 2115:0.979820 484:0.598319 419:0.493134 2317:0.927764 2736:0.581227
0 qid:2 1110:0.360937 2115:0.279756 484:0.000000 419:0.000000 2317:0.000000 2736:0.039711
0 qid:2 1110:0.370074 2115:0.984897 484:0.605716 419:0.494917 2317:0.933190 2736:0.584838
0 qid:2 1110:0.084523 2115:0.000000 484:0.097011 419:0.232771 2317:0.344846 2736:0.133574
0 qid:2 1110:0.344946 2115:0.927841 484:0.536074 419:0.475105 2317:0.871957 2736:0.545126
0 qid:2 1110:0.376927 2115:1.000000 484:0.619397 419:0.500242 2317:0.949312 2736:0.595668
0 qid:2 1110:0.185037 2115:0.463045 484:0.216635 419:0.336182 2317:0.331496 2736:0.292419
0 qid:2 1110:0.214734 2115:0.569898 484:0.263815 419:0.363964 2317:0.467193 2736:0.339350
0 qid:2 1110:0.304397 2115:0.922515 484:0.536020 419:0.359641 2317:0.851291 2736:0.633574
0 qid:2 1110:0.276413 2115:0.755689 484:0.379192 419:0.418557 2317:0.683044 2736:0.436823
0 qid:2 1110:0.376927 2115:1.000000 484:0.619397 419:0.500242 2317:0.949312 2736:0.595668
0 qid:2 1110:0.244432 2115:0.664153 484:0.316422 419:0.390737 2317:0.578869 2736:0.386282
1 qid:2 1110:0.333524 2115:0.900961 484:0.507597 419:0.465945 2317:0.842907 2736:0.527076
0 qid:2 1110:0.153055 2115:0.325680 484:0.171873 419:0.304991 2317:0.122930 2736:0.241877
0 qid:2 1110:0.157624 2115:0.347288 484:0.177884 419:0.309534 2317:0.160737 2736:0.249097
0 qid:2 1110:0.000000 2115:0.480522 484:0.044153 419:0.129610 2317:0.669963 2736:0.000000
0 qid:2 1110:0.269560 2115:0.736800 484:0.365203 419:0.412679 2317:0.661812 2736:0.425993
0 qid:2 1110:0.274129 2115:0.749433 484:0.374496 419:0.416602 2317:0.676025 2736:0.433213
0 qid:3 1110:0.520458 2115:0.356786 484:0.790842 419:0.672233 2317:0.703726 2736:0.962397
0 qid:3 1110:0.000000 2115:0.164298 484:0.000000 419:0.166631 2317:0.517232 2736:0.000000
1 qid:3 1110:1.000000 2115:0.724354 484:1.000000 419:1.000000 2317:1.000000 2736:1.000000
0 qid:3 1110:0.789473 2115:0.988448 484:0.959575 419:0.215481 2317:0.928781 2736:0.935317
0 qid:3 1110:0.554905 2115:0.356786 484:0.843088 419:0.413214 2317:0.069701 2736:0.948316
0 qid:3 1110:0.787249 2115:0.982634 484:0.948034 419:0.217785 2317:0.927945 2736:0.982193
0 qid:3 1110:0.053983 2115:0.000000 484:0.039792 419:0.146509 2317:0.427638 2736:0.065698
0 qid:3 1110:0.724921 2115:0.929112 484:0.810659 419:0.203461 2317:0.868672 2736:0.768372
0 qid:3 1110:0.807987 2115:1.000000 484:0.882558 419:0.219556 2317:0.945364 2736:0.985335
0 qid:3 1110:0.347890 2115:0.459774 484:0.313713 419:0.000000 2317:0.340390 2736:0.423385
0 qid:3 1110:0.456072 2115:0.584888 484:0.455921 419:0.001283 2317:0.484533 2736:0.715975
0 qid:3 1110:0.789134 2115:1.000000 484:0.967277 419:0.190601 2317:0.915334 2736:0.978199
0 qid:3 1110:0.717462 2115:0.709773 484:0.799202 419:0.311905 2317:0.568552 2736:0.977723
0 qid:3 1110:0.807987 2115:1.000000 484:0.882558 419:0.219556 2317:0.945364 2736:0.985335
0 qid:3 1110:0.566047 2115:0.780782 484:0.547567 419:0.198113 2317:0.721378 2736:0.948673
0 qid:3 1110:0.713774 2115:0.916909 484:0.802761 419:0.189113 2317:0.850853 2736:0.868670
0 qid:3 1110:0.151292 2115:0.235657 484:0.041445 419:0.156338 2317:0.000000 2736:0.885823
