,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1387,375,1729,526,2300,600,1208,67,1371,combine
median_Examscore(%),24.56,24.56,24.56,35.965,24.56,24.56,24.56,35.09,24.56,24.56,24.56,24.56,20.615000000000002,24.56,24.56,23.68,4.39,12.28,7.89,11.4,7.02,14.91,14.91,21.93,13.16,2.63
mean_Examscore(%),28.408461538461527,31.578846153846147,29.521153846153837,47.940384615384616,31.882692307692306,31.882692307692306,31.882692307692306,52.83384615384615,29.5876923076923,31.882692307692306,31.984230769230766,31.984230769230766,32.693076923076916,32.72615384615384,32.62499999999999,31.78153846153846,23.651538461538458,22.604230769230767,25.135384615384606,21.72653846153846,25.472307692307687,23.21115384615384,23.07653846153846,25.33692307692307,26.518076923076915,16.90230769230769
sd_Examscore(%),26.122903313729537,23.550019163800794,25.263557045978,36.08395493631697,23.30265728327004,23.30265728327004,23.30265728327004,31.05812667588605,20.215975130117727,23.30265728327004,23.187479064887917,23.187479064887917,22.040599768469235,24.107950734464858,24.16792307998352,23.343850358037802,29.67113677529834,24.31157192335813,28.187760213364843,23.62404469049408,28.350032283253906,24.068572591979454,24.17744121156045,23.202849612792093,25.32704104615946,21.112343746290662
Total_acc1,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,3.0,3.0,6.0
Total_acc2,6.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,6.0,6.0,6.0,2.0,6.0,6.0,4.0,4.0,12.0
Total_acc3,6.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,9.0,6.0,9.0,3.0,9.0,9.0,7.0,4.0,15.0
Total_acc5,9.0,2.0,7.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,15.0,9.0,12.0,11.0,5.0,9.0,11.0,9.0,4.0,15.0
rate_acc1,0.23076923076923078,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,0.23076923076923078,0.11538461538461539,0.11538461538461539,0.23076923076923078
rate_acc2,0.23076923076923078,0.038461538461538464,0.11538461538461539,0.23076923076923078,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.34615384615384615,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.46153846153846156
rate_acc3,0.23076923076923078,0.038461538461538464,0.15384615384615385,0.23076923076923078,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.4230769230769231,0.34615384615384615,0.23076923076923078,0.34615384615384615,0.11538461538461539,0.34615384615384615,0.34615384615384615,0.2692307692307692,0.15384615384615385,0.5769230769230769
rate_acc5,0.34615384615384615,0.07692307692307693,0.2692307692307692,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.5769230769230769,0.34615384615384615,0.46153846153846156,0.4230769230769231,0.19230769230769232,0.34615384615384615,0.4230769230769231,0.34615384615384615,0.15384615384615385,0.5769230769230769
