,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,2300,1008,1787,703,1048,413,combine
RM1Mut133_T22,37.0,37.0,37.0,81.0,37.0,37.0,37.0,79.0,107.0,37.0,37.0,37.0,37.0,35.0,35.0,37.0,35.0,23.0,24.0,23.0,24.0,25.0,15.0
RM1Mut119_T74,74.0,74.0,74.0,40.0,74.0,74.0,74.0,38.0,66.0,74.0,74.0,74.0,74.0,76.0,76.0,74.0,76.0,64.0,66.0,64.0,66.0,66.0,55.0
RM1Mut102_T64,69.0,69.0,69.0,35.0,69.0,69.0,69.0,33.0,61.0,69.0,69.0,69.0,69.0,71.0,71.0,69.0,71.0,59.0,61.0,59.0,61.0,61.0,50.0
RM1Mut152_T66,5.0,7.0,4.0,89.0,7.0,7.0,7.0,97.0,7.0,7.0,8.0,8.0,24.0,7.0,7.0,7.0,8.0,4.0,3.0,3.0,7.0,7.0,4.0
RM1Mut14_T76,76.0,76.0,76.0,42.0,76.0,76.0,76.0,40.0,68.0,76.0,76.0,76.0,76.0,78.0,78.0,76.0,78.0,66.0,68.0,66.0,68.0,68.0,57.0
RM1Mut110_T48,1.0,29.0,22.0,2.0,29.0,29.0,29.0,22.0,29.0,29.0,29.0,29.0,23.0,30.0,29.0,30.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
RM1Mut150_T64,69.0,69.0,69.0,35.0,69.0,69.0,69.0,33.0,61.0,69.0,69.0,69.0,69.0,71.0,71.0,69.0,71.0,59.0,61.0,59.0,61.0,61.0,50.0
RM1Mut11_T48,1.0,29.0,22.0,2.0,29.0,29.0,29.0,22.0,29.0,29.0,29.0,29.0,23.0,30.0,29.0,30.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
RM1Mut192_T46,28.0,28.0,28.0,106.0,28.0,28.0,28.0,99.0,28.0,28.0,28.0,28.0,22.0,28.0,28.0,27.0,6.0,15.0,15.0,14.0,10.0,15.0,2.0
RM1Mut23_T52,1.0,29.0,24.0,2.0,29.0,29.0,29.0,24.0,29.0,29.0,31.0,31.0,28.0,32.0,29.0,32.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
RM1Mut135_T4,1.0,4.0,1.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
RM1Mut10_T68,71.0,71.0,71.0,37.0,71.0,71.0,71.0,35.0,63.0,71.0,71.0,71.0,71.0,73.0,73.0,71.0,73.0,61.0,63.0,61.0,63.0,63.0,52.0
RM1Mut15_T66,5.0,7.0,4.0,89.0,7.0,7.0,7.0,97.0,7.0,7.0,8.0,8.0,24.0,7.0,7.0,7.0,8.0,4.0,3.0,3.0,7.0,7.0,4.0
RM1Mut128_T42,13.0,17.0,8.0,91.0,20.0,20.0,20.0,89.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,11.0,6.0,4.0,6.0,14.0,4.0,7.0
RM1Mut27_T18,33.0,33.0,33.0,85.0,33.0,33.0,33.0,83.0,110.0,33.0,33.0,33.0,33.0,31.0,31.0,33.0,31.0,19.0,19.0,19.0,20.0,21.0,8.0
RM1Mut20_T8,1.0,13.0,3.0,2.0,13.0,13.0,13.0,2.0,13.0,13.0,13.0,13.0,7.0,13.0,13.0,12.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
RM1Mut131_T74,74.0,74.0,74.0,40.0,74.0,74.0,74.0,38.0,66.0,74.0,74.0,74.0,74.0,76.0,76.0,74.0,76.0,64.0,66.0,64.0,66.0,66.0,55.0
RM1Mut161_T72,8.0,13.0,5.0,92.0,15.0,15.0,15.0,95.0,15.0,15.0,15.0,15.0,28.0,15.0,15.0,14.0,10.0,5.0,5.0,5.0,11.0,5.0,11.0
RM1Mut163_T14,26.0,26.0,24.0,108.0,25.0,25.0,25.0,104.0,25.0,25.0,25.0,25.0,12.0,25.0,25.0,25.0,21.0,16.0,16.0,15.0,2.0,18.0,5.0
RM1Mut196_T1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0
RM1Mut179_T36,1.0,4.0,2.0,2.0,5.0,5.0,5.0,17.0,5.0,5.0,5.0,5.0,16.0,6.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
RM1Mut127_T66,5.0,7.0,4.0,89.0,7.0,7.0,7.0,97.0,7.0,7.0,8.0,8.0,24.0,7.0,7.0,7.0,8.0,4.0,3.0,3.0,7.0,7.0,4.0
RM1Mut121_T46,28.0,28.0,28.0,106.0,28.0,28.0,28.0,99.0,28.0,28.0,28.0,28.0,22.0,28.0,28.0,27.0,6.0,15.0,15.0,14.0,10.0,15.0,2.0
RM1Mut107_T32,47.0,47.0,47.0,17.0,47.0,47.0,47.0,15.0,43.0,47.0,47.0,47.0,47.0,53.0,53.0,47.0,53.0,41.0,43.0,41.0,43.0,43.0,32.0
RM1Mut34_T76,76.0,76.0,76.0,42.0,76.0,76.0,76.0,40.0,68.0,76.0,76.0,76.0,76.0,78.0,78.0,76.0,78.0,66.0,68.0,66.0,68.0,68.0,57.0
RM1Mut164_T36,1.0,4.0,2.0,2.0,5.0,5.0,5.0,17.0,5.0,5.0,5.0,5.0,16.0,6.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
