,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1387,375,1729,526,2300,600,1208,67,1371,combine
RM1Mut157_T72,1.0,10.0,2.0,2.0,12.0,12.0,12.0,37.0,12.0,12.0,12.0,12.0,28.0,12.0,12.0,12.0,5.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0
RM1Mut108_T64,69.0,69.0,69.0,35.0,69.0,69.0,69.0,33.0,61.0,69.0,69.0,69.0,69.0,71.0,71.0,69.0,71.0,61.0,70.0,59.0,71.0,61.0,61.0,61.0,67.0,50.0
RM1Mut14_T76,76.0,76.0,76.0,42.0,76.0,76.0,76.0,40.0,68.0,76.0,76.0,76.0,76.0,78.0,78.0,76.0,78.0,68.0,77.0,66.0,78.0,68.0,68.0,68.0,74.0,57.0
RM1Mut105_T8,1.0,13.0,3.0,2.0,13.0,13.0,13.0,2.0,13.0,13.0,13.0,13.0,7.0,13.0,13.0,12.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
RM1Mut148_T46,28.0,28.0,28.0,106.0,28.0,28.0,28.0,99.0,28.0,28.0,28.0,28.0,22.0,28.0,28.0,27.0,1.0,14.0,5.0,13.0,6.0,17.0,17.0,25.0,15.0,2.0
RM1Mut197_T42,13.0,17.0,8.0,91.0,20.0,20.0,20.0,89.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,7.0,6.0,9.0,5.0,11.0,6.0,4.0,5.0,17.0,7.0
RM1Mut170_T46,28.0,28.0,28.0,106.0,28.0,28.0,28.0,99.0,28.0,28.0,28.0,28.0,22.0,28.0,28.0,27.0,1.0,14.0,5.0,13.0,6.0,17.0,17.0,25.0,15.0,2.0
RM1Mut18_T36,1.0,4.0,2.0,2.0,5.0,5.0,5.0,17.0,5.0,5.0,5.0,5.0,16.0,6.0,5.0,5.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0
RM1Mut151_T32,47.0,47.0,47.0,17.0,47.0,47.0,47.0,15.0,43.0,47.0,47.0,47.0,47.0,53.0,53.0,47.0,53.0,43.0,52.0,41.0,53.0,43.0,43.0,43.0,49.0,32.0
RM1Mut126_T46,28.0,28.0,28.0,106.0,28.0,28.0,28.0,99.0,28.0,28.0,28.0,28.0,22.0,28.0,28.0,27.0,1.0,14.0,5.0,13.0,6.0,17.0,17.0,25.0,15.0,2.0
RM1Mut176_T1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
RM1Mut141_T46,28.0,28.0,28.0,106.0,28.0,28.0,28.0,99.0,28.0,28.0,28.0,28.0,22.0,28.0,28.0,27.0,1.0,14.0,5.0,13.0,6.0,17.0,17.0,25.0,15.0,2.0
RM1Mut159_T66,5.0,7.0,4.0,89.0,7.0,7.0,7.0,97.0,7.0,7.0,8.0,8.0,24.0,7.0,7.0,7.0,5.0,3.0,17.0,3.0,8.0,3.0,3.0,3.0,6.0,3.0
RM1Mut192_T46,28.0,28.0,28.0,106.0,28.0,28.0,28.0,99.0,28.0,28.0,28.0,28.0,22.0,28.0,28.0,27.0,1.0,14.0,5.0,13.0,6.0,17.0,17.0,25.0,15.0,2.0
