,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2227,1791,1041,1319,combine
InFlightMut198_T20,19.0,15.0,16.0,22.0,20.0,22.0,22.0,22.0,20.0,23.0,22.0,23.0,22.0,22.0,19.0,22.0,17.0,15.0,16.0,19.0,16.0
InFlightMut164_T2,1.0,1.0,2.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,8.0,1.0,8.0,3.0,1.0,2.0,5.0,2.0
InFlightMut47_T6,5.0,26.0,27.0,2.0,1.0,2.0,2.0,2.0,2.0,9.0,2.0,2.0,2.0,2.0,5.0,2.0,27.0,26.0,28.0,2.0,1.0
InFlightMut43_T13,12.0,9.0,10.0,16.0,14.0,16.0,16.0,16.0,14.0,16.0,16.0,17.0,16.0,16.0,12.0,16.0,11.0,9.0,10.0,13.0,10.0
InFlightMut152_T18,17.0,13.0,14.0,20.0,18.0,20.0,20.0,20.0,18.0,21.0,20.0,21.0,20.0,20.0,17.0,20.0,15.0,13.0,14.0,17.0,14.0
InFlightMut144_T19,18.0,14.0,15.0,21.0,19.0,21.0,21.0,21.0,19.0,22.0,21.0,22.0,21.0,21.0,18.0,21.0,16.0,14.0,15.0,18.0,15.0
InFlightMut116_T2,1.0,1.0,2.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,8.0,1.0,8.0,3.0,1.0,2.0,5.0,2.0
InFlightMut101_T24,22.0,18.0,19.0,25.0,23.0,25.0,25.0,25.0,23.0,26.0,25.0,26.0,25.0,25.0,22.0,25.0,20.0,18.0,19.0,22.0,19.0
InFlightMut138_T2,1.0,1.0,2.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,8.0,1.0,8.0,3.0,1.0,2.0,5.0,2.0
InFlightMut20_T10,9.0,7.0,8.0,14.0,12.0,14.0,14.0,14.0,12.0,13.0,14.0,15.0,14.0,14.0,9.0,14.0,9.0,7.0,8.0,11.0,8.0
InFlightMut33_T31,27.0,23.0,25.0,31.0,28.0,31.0,31.0,31.0,28.0,31.0,30.0,31.0,31.0,31.0,27.0,30.0,25.0,23.0,24.0,27.0,24.0
InFlightMut12_T3,2.0,2.0,3.0,9.0,7.0,9.0,9.0,9.0,7.0,6.0,9.0,10.0,9.0,9.0,2.0,9.0,4.0,2.0,3.0,6.0,3.0
InFlightMut37_T18,17.0,13.0,14.0,20.0,18.0,20.0,20.0,20.0,18.0,21.0,20.0,21.0,20.0,20.0,17.0,20.0,15.0,13.0,14.0,17.0,14.0
InFlightMut121_T31,27.0,23.0,25.0,31.0,28.0,31.0,31.0,31.0,28.0,31.0,30.0,31.0,31.0,31.0,27.0,30.0,25.0,23.0,24.0,27.0,24.0
InFlightMut193_T26,23.0,19.0,20.0,26.0,24.0,26.0,26.0,26.0,24.0,27.0,26.0,27.0,26.0,26.0,23.0,26.0,21.0,19.0,20.0,23.0,20.0
InFlightMut15_T19,18.0,14.0,15.0,21.0,19.0,21.0,21.0,21.0,19.0,22.0,21.0,22.0,21.0,21.0,18.0,21.0,16.0,14.0,15.0,18.0,15.0
InFlightMut141_T23,21.0,17.0,18.0,24.0,22.0,24.0,24.0,24.0,22.0,25.0,24.0,25.0,24.0,24.0,21.0,24.0,19.0,17.0,18.0,21.0,18.0
InFlightMut163_T8,7.0,6.0,7.0,13.0,11.0,13.0,13.0,13.0,11.0,11.0,13.0,14.0,13.0,13.0,7.0,13.0,8.0,6.0,7.0,10.0,7.0
InFlightMut27_T21,20.0,16.0,17.0,23.0,21.0,23.0,23.0,23.0,21.0,24.0,23.0,24.0,23.0,23.0,20.0,23.0,18.0,16.0,17.0,20.0,17.0
InFlightMut183_T2,1.0,1.0,2.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,8.0,1.0,8.0,3.0,1.0,2.0,5.0,2.0
InFlightMut108_T19,18.0,14.0,15.0,21.0,19.0,21.0,21.0,21.0,19.0,22.0,21.0,22.0,21.0,21.0,18.0,21.0,16.0,14.0,15.0,18.0,15.0
InFlightMut168_T30,26.0,22.0,24.0,30.0,27.0,30.0,30.0,30.0,27.0,30.0,29.0,30.0,30.0,30.0,26.0,29.0,24.0,22.0,23.0,26.0,23.0
InFlightMut35_T26,23.0,19.0,20.0,26.0,24.0,26.0,26.0,26.0,24.0,27.0,26.0,27.0,26.0,26.0,23.0,26.0,21.0,19.0,20.0,23.0,20.0
InFlightMut146_T32,28.0,24.0,26.0,32.0,29.0,32.0,32.0,32.0,29.0,32.0,31.0,32.0,32.0,32.0,28.0,31.0,26.0,24.0,25.0,28.0,25.0
InFlightMut197_T3,2.0,2.0,3.0,9.0,7.0,9.0,9.0,9.0,7.0,6.0,9.0,10.0,9.0,9.0,2.0,9.0,4.0,2.0,3.0,6.0,3.0
InFlightMut159_T19,18.0,14.0,15.0,21.0,19.0,21.0,21.0,21.0,19.0,22.0,21.0,22.0,21.0,21.0,18.0,21.0,16.0,14.0,15.0,18.0,15.0
