,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2227,1791,1041,1319,combine
median_Examscore(%),56.25,43.75,46.88,65.62,59.38,65.62,65.62,65.62,59.38,68.75,65.62,68.75,65.62,65.62,56.25,65.62,50.0,43.75,46.88,56.25,46.88
mean_Examscore(%),46.033076923076926,40.143846153846155,43.751153846153855,58.77307692307692,52.164615384615395,58.77307692307692,58.77307692307692,58.77307692307692,52.28500000000001,58.533076923076926,58.29192307692306,61.2976923076923,58.77307692307692,58.77307692307692,46.033076923076926,58.29192307692306,46.27461538461538,40.143846153846155,43.390769230769244,49.27846153846155,40.145384615384614
sd_Examscore(%),29.351229993883496,25.15286752271766,25.798934292241306,26.679253778054704,25.73556935150559,26.679253778054704,26.679253778054704,26.679253778054704,25.5032461071135,29.351229993883496,25.980269593555917,26.238004849102726,26.679253778054704,26.679253778054704,29.351229993883496,25.980269593555917,24.951793720014475,25.15286752271766,25.361268252684358,25.28625756292262,24.88542806234512
Total_acc1,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0
Total_acc2,6.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,6.0,4.0,1.0,5.0
Total_acc3,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,4.0,6.0,6.0,1.0,7.0
Total_acc5,7.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,1.0,6.0,6.0,6.0,5.0,7.0
rate_acc1,0.15384615384615385,0.15384615384615385,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.0,0.038461538461538464
rate_acc2,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.23076923076923078,0.038461538461538464,0.0,0.23076923076923078,0.15384615384615385,0.038461538461538464,0.19230769230769232
rate_acc3,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.23076923076923078,0.038461538461538464,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.038461538461538464,0.2692307692307692
rate_acc5,0.2692307692307692,0.23076923076923078,0.23076923076923078,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.2692307692307692,0.038461538461538464,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.19230769230769232,0.2692307692307692
