,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2426,2146,2278,1298,2126,1539,1354,combine
InFlightMut101_T24,22.0,18.0,19.0,25.0,23.0,25.0,25.0,25.0,23.0,26.0,25.0,26.0,25.0,25.0,22.0,25.0,18.0,21.0,18.0,18.0,19.0,20.0,19.0,18.0
InFlightMut19_T30,26.0,22.0,24.0,30.0,27.0,30.0,30.0,30.0,27.0,30.0,29.0,30.0,30.0,30.0,26.0,29.0,22.0,25.0,22.0,22.0,23.0,24.0,23.0,22.0
InFlightMut28_T21,20.0,16.0,17.0,23.0,21.0,23.0,23.0,23.0,21.0,24.0,23.0,24.0,23.0,23.0,20.0,23.0,16.0,19.0,16.0,16.0,17.0,18.0,17.0,16.0
InFlightMut104_T26,23.0,19.0,20.0,26.0,24.0,26.0,26.0,26.0,24.0,27.0,26.0,27.0,26.0,26.0,23.0,26.0,19.0,22.0,19.0,19.0,20.0,21.0,20.0,19.0
InFlightMut126_T28,24.0,20.0,22.0,28.0,25.0,28.0,28.0,28.0,25.0,28.0,27.0,28.0,28.0,28.0,24.0,27.0,20.0,23.0,20.0,20.0,21.0,22.0,21.0,20.0
InFlightMut150_T31,27.0,23.0,25.0,31.0,28.0,31.0,31.0,31.0,28.0,31.0,30.0,31.0,31.0,31.0,27.0,30.0,23.0,26.0,23.0,23.0,24.0,25.0,24.0,23.0
InFlightMut192_T32,28.0,24.0,26.0,32.0,29.0,32.0,32.0,32.0,29.0,32.0,31.0,32.0,32.0,32.0,28.0,31.0,24.0,27.0,24.0,24.0,25.0,26.0,25.0,24.0
InFlightMut41_T28,24.0,20.0,22.0,28.0,25.0,28.0,28.0,28.0,25.0,28.0,27.0,28.0,28.0,28.0,24.0,27.0,20.0,23.0,20.0,20.0,21.0,22.0,21.0,20.0
InFlightMut158_T31,27.0,23.0,25.0,31.0,28.0,31.0,31.0,31.0,28.0,31.0,30.0,31.0,31.0,31.0,27.0,30.0,23.0,26.0,23.0,23.0,24.0,25.0,24.0,23.0
InFlightMut121_T31,27.0,23.0,25.0,31.0,28.0,31.0,31.0,31.0,28.0,31.0,30.0,31.0,31.0,31.0,27.0,30.0,23.0,26.0,23.0,23.0,24.0,25.0,24.0,23.0
InFlightMut27_T21,20.0,16.0,17.0,23.0,21.0,23.0,23.0,23.0,21.0,24.0,23.0,24.0,23.0,23.0,20.0,23.0,16.0,19.0,16.0,16.0,17.0,18.0,17.0,16.0
InFlightMut106_T3,2.0,2.0,3.0,9.0,7.0,9.0,9.0,9.0,7.0,6.0,9.0,10.0,9.0,9.0,2.0,9.0,2.0,5.0,2.0,2.0,3.0,4.0,3.0,2.0
InFlightMut37_T18,17.0,13.0,14.0,20.0,18.0,20.0,20.0,20.0,18.0,21.0,20.0,21.0,20.0,20.0,17.0,20.0,13.0,16.0,13.0,13.0,14.0,15.0,14.0,13.0
InFlightMut153_T18,17.0,13.0,14.0,20.0,18.0,20.0,20.0,20.0,18.0,21.0,20.0,21.0,20.0,20.0,17.0,20.0,13.0,16.0,13.0,13.0,14.0,15.0,14.0,13.0
InFlightMut39_T24,22.0,18.0,19.0,25.0,23.0,25.0,25.0,25.0,23.0,26.0,25.0,26.0,25.0,25.0,22.0,25.0,18.0,21.0,18.0,18.0,19.0,20.0,19.0,18.0
InFlightMut36_T3,2.0,2.0,3.0,9.0,7.0,9.0,9.0,9.0,7.0,6.0,9.0,10.0,9.0,9.0,2.0,9.0,2.0,5.0,2.0,2.0,3.0,4.0,3.0,2.0
InFlightMut168_T30,26.0,22.0,24.0,30.0,27.0,30.0,30.0,30.0,27.0,30.0,29.0,30.0,30.0,30.0,26.0,29.0,22.0,25.0,22.0,22.0,23.0,24.0,23.0,22.0
InFlightMut23_T32,28.0,24.0,26.0,32.0,29.0,32.0,32.0,32.0,29.0,32.0,31.0,32.0,32.0,32.0,28.0,31.0,24.0,27.0,24.0,24.0,25.0,26.0,25.0,24.0
InFlightMut145_T29,25.0,21.0,23.0,29.0,26.0,29.0,29.0,29.0,26.0,29.0,28.0,29.0,29.0,29.0,25.0,28.0,21.0,24.0,21.0,21.0,22.0,23.0,22.0,21.0
InFlightMut144_T19,18.0,14.0,15.0,21.0,19.0,21.0,21.0,21.0,19.0,22.0,21.0,22.0,21.0,21.0,18.0,21.0,14.0,17.0,14.0,14.0,15.0,16.0,15.0,14.0
InFlightMut26_T2,1.0,1.0,2.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,8.0,1.0,8.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0
InFlightMut100_T2,1.0,1.0,2.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,8.0,1.0,8.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0
InFlightMut155_T4,3.0,3.0,4.0,10.0,8.0,10.0,10.0,10.0,8.0,7.0,10.0,11.0,10.0,10.0,3.0,10.0,3.0,6.0,3.0,3.0,4.0,5.0,4.0,3.0
InFlightMut18_T2,1.0,1.0,2.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,8.0,1.0,8.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0
InFlightMut42_T24,22.0,18.0,19.0,25.0,23.0,25.0,25.0,25.0,23.0,26.0,25.0,26.0,25.0,25.0,22.0,25.0,18.0,21.0,18.0,18.0,19.0,20.0,19.0,18.0
InFlightMut148_T26,23.0,19.0,20.0,26.0,24.0,26.0,26.0,26.0,24.0,27.0,26.0,27.0,26.0,26.0,23.0,26.0,19.0,22.0,19.0,19.0,20.0,21.0,20.0,19.0
