0 qid:1 24:1.000000 5:0.303345 1247:1.000000 1526:0.663820 1011:0.059584 8:0.000000 9:0.950964
0 qid:1 24:0.115163 5:0.015450 1247:0.862892 1526:0.022820 1011:0.002595 8:0.353231 9:0.161601
0 qid:1 24:0.979964 5:0.865542 1247:0.956972 1526:1.000000 1011:1.000000 8:1.000000 9:1.000000
0 qid:1 24:0.688764 5:0.930656 1247:0.952566 1526:0.501449 1011:0.124451 8:0.417573 9:0.969604
0 qid:1 24:0.155685 5:0.153404 1247:0.766331 1526:0.470750 1011:0.023756 8:0.402620 9:0.901408
0 qid:1 24:0.692839 5:0.949181 1247:0.953066 1526:0.590958 1011:0.145294 8:0.417770 9:0.975819
0 qid:1 24:0.000000 5:0.000000 1247:0.875818 1526:0.026356 1011:0.000000 8:0.363340 9:0.217539
0 qid:1 24:0.660693 5:0.864159 1247:0.949594 1526:0.345499 1011:0.093519 8:0.423924 9:0.954955
0 qid:1 24:0.704959 5:1.000000 1247:0.000000 1526:0.000000 1011:0.062542 8:0.418349 9:0.994466
0 qid:1 24:0.248890 5:0.131912 1247:0.917386 1526:0.172023 1011:0.014782 8:0.398662 9:0.671856
0 qid:1 24:0.326478 5:0.231427 1247:0.924381 1526:0.239116 1011:0.023715 8:0.408376 9:0.782194
0 qid:1 24:0.630895 5:0.821402 1247:0.946937 1526:0.370871 1011:0.095940 8:0.432845 9:0.958537
0 qid:1 24:0.512784 5:0.394235 1247:0.937818 1526:0.099324 1011:0.026236 8:0.408177 9:0.727203
0 qid:1 24:0.704959 5:1.000000 1247:0.000000 1526:0.000000 1011:0.062542 8:0.418349 9:0.994466
0 qid:1 24:0.425946 5:0.311019 1247:0.931847 1526:0.191572 1011:0.026357 8:0.410200 9:0.772963
1 qid:1 24:0.676430 5:0.878969 1247:0.951353 1526:0.360231 1011:0.091300 8:0.416972 9:0.950958
0 qid:1 24:0.135194 5:0.077812 1247:0.908643 1526:0.165619 1011:0.009981 8:0.391476 9:0.623325
0 qid:1 24:0.192413 5:0.038983 1247:0.908512 1526:0.042849 1011:0.006571 8:0.387709 9:0.416432
0 qid:1 24:0.328986 5:0.125277 1247:0.808130 1526:0.014338 1011:0.006623 8:0.307078 9:0.000000
0 qid:1 24:0.484729 5:0.407912 1247:0.936560 1526:0.203649 1011:0.032528 8:0.413873 9:0.813405
0 qid:1 24:0.522799 5:0.415973 1247:0.938679 1526:0.103577 1011:0.027453 8:0.408758 9:0.739634
0 qid:2 24:1.000000 5:0.171081 1247:0.167899 1526:0.658775 1011:0.402762 8:1.000000 9:0.809113
0 qid:2 24:0.123990 5:0.010554 1247:0.087203 1526:0.008874 1011:0.020295 8:0.911943 9:0.164308
0 qid:2 24:0.982146 5:0.675907 1247:0.223518 1526:1.000000 1011:0.559792 8:0.992430 9:1.000000
0 qid:2 24:0.703444 5:0.937443 1247:0.226093 1526:0.493810 1011:0.847427 8:0.948913 9:0.944770
0 qid:2 24:0.013571 5:0.044608 1247:0.169474 1526:0.337272 1011:0.101481 8:0.940598 9:0.696237
0 qid:2 24:0.707089 5:0.954776 1247:0.226334 1526:0.584291 1011:0.987412 8:0.948987 9:0.950639
0 qid:2 24:0.000000 5:0.000000 1247:0.106517 1526:0.012327 1011:0.000000 8:0.919863 9:0.217121
0 qid:2 24:0.666127 5:0.783419 1247:0.221751 1526:0.221564 1011:0.418902 8:0.948130 9:0.886089
0 qid:2 24:0.717932 5:1.000000 1247:1.000000 1526:0.298852 1011:1.000000 8:0.949203 9:0.968243
0 qid:2 24:0.332435 5:0.100487 1247:0.170226 1526:0.036565 1011:0.079992 8:0.938316 9:0.475319
0 qid:2 24:0.409148 5:0.178540 1247:0.182947 1526:0.047759 1011:0.107954 8:0.941048 9:0.551605
0 qid:2 24:0.614964 5:0.781865 1247:0.224152 1526:0.802973 1011:0.559792 8:0.000000 9:0.509493
0 qid:2 24:0.542533 5:0.411357 1247:0.204139 1526:0.085282 1011:0.185704 8:0.945115 9:0.710045
0 qid:2 24:0.717932 5:1.000000 1247:1.000000 1526:0.298852 1011:1.000000 8:0.949203 9:0.968243
0 qid:2 24:0.476816 5:0.278700 1247:0.193912 1526:0.062531 1011:0.140511 8:0.943222 9:0.627891
1 qid:2 24:0.646829 5:0.712868 1247:0.219184 1526:0.177294 1011:0.346418 8:0.947703 9:0.856748
0 qid:2 24:0.233816 5:0.041115 1247:0.154039 1526:0.027098 1011:0.051793 8:0.934463 9:0.393165
0 qid:2 24:0.249329 5:0.048031 1247:0.156536 1526:0.028322 1011:0.055826 8:0.935088 9:0.404902
0 qid:2 24:0.344982 5:0.110960 1247:0.000000 1526:0.000000 1011:0.050414 8:0.842278 9:0.000000
0 qid:2 24:0.528972 5:0.380760 1247:0.202069 1526:0.079561 1011:0.174725 8:0.944742 9:0.692440
0 qid:2 24:0.538042 5:0.401026 1247:0.203456 1526:0.083311 1011:0.181946 8:0.944992 9:0.704177
0 qid:3 24:0.980922 5:0.302792 1247:0.890812 1526:0.648077 1011:0.043354 8:0.000000 9:0.909815
0 qid:3 24:0.203325 5:0.027382 1247:0.767963 1526:0.142988 1011:0.002343 8:0.284965 9:0.025926
1 qid:3 24:1.000000 5:0.895309 1247:0.845803 1526:1.000000 1011:1.000000 8:1.000000 9:1.000000
0 qid:3 24:0.699181 5:0.964187 1247:0.841556 1526:0.584425 1011:0.130102 8:0.356534 9:0.965604
0 qid:3 24:0.227847 5:0.168596 1247:1.000000 1526:0.532908 1011:0.024054 8:0.345100 9:0.885357
0 qid:3 24:0.699585 5:0.946793 1247:0.842404 1526:0.594865 1011:0.118208 8:0.353442 9:0.959170
0 qid:3 24:0.110377 5:0.008525 1247:0.778731 1526:0.145638 1011:0.000000 8:0.297036 9:0.090368
0 qid:3 24:0.653704 5:0.791999 1247:0.839060 1526:0.280749 1011:0.056040 8:0.354388 9:0.878711
0 qid:3 24:0.712417 5:1.000000 1247:0.000000 1526:0.000000 1011:0.046444 8:0.354014 9:0.990447
0 qid:3 24:0.260043 5:0.118704 1247:0.815554 1526:0.167460 1011:0.010823 8:0.335444 9:0.441220
0 qid:3 24:0.342023 5:0.226567 1247:0.821137 1526:0.227757 1011:0.017887 8:0.344222 9:0.620322
0 qid:3 24:0.679415 5:0.996350 1247:0.837916 1526:0.475168 1011:0.160743 8:0.379606 9:0.976172
0 qid:3 24:0.000000 5:0.441105 1247:0.853823 1526:0.629746 1011:0.093960 8:0.409379 9:0.961614
0 qid:3 24:0.712417 5:1.000000 1247:0.000000 1526:0.000000 1011:0.046444 8:0.354014 9:0.990447
0 qid:3 24:0.550429 5:0.464823 1247:0.832866 1526:0.126432 1011:0.024266 8:0.346181 9:0.625545
0 qid:3 24:0.637019 5:0.762794 1247:0.838042 1526:0.286805 1011:0.054691 8:0.357034 9:0.877994
0 qid:3 24:0.147619 5:0.000000 1247:0.805510 1526:0.050219 1011:0.002934 8:0.322553 9:0.000000
0 qid:3 24:0.126659 5:0.050505 1247:0.807628 1526:0.159448 1011:0.006244 8:0.327529 9:0.340976
0 qid:3 24:0.466440 5:0.167183 1247:0.720270 1526:0.250769 1011:0.008838 8:0.221486 9:0.255484
0 qid:3 24:0.495922 5:0.378243 1247:0.829782 1526:0.152603 1011:0.021826 8:0.346170 9:0.609344
0 qid:3 24:0.503364 5:0.360261 1247:0.829857 1526:0.105466 1011:0.019344 8:0.343664 9:0.531714
0 qid:4 24:1.000000 5:0.171081 1247:0.167899 1526:0.658775 1011:0.402762 8:1.000000 9:0.809113
