SIPMut100_T18,243,0.972
SIPMut101_T21,243,0.972
SIPMut102_T21,243,0.972
SIPMut103_T26,243,0.972
SIPMut104_T1,243,0.972
SIPMut105_T21,243,0.972
SIPMut106_T21,243,0.972
SIPMut107_T26,243,0.972
SIPMut108_T21,243,0.972
SIPMut109_T1,243,0.972
SIPMut10_T1,243,0.972
SIPMut110_T1,243,0.972
SIPMut111_T21,243,0.972
SIPMut112_T18,243,0.972
SIPMut113_T21,243,0.972
SIPMut114_T1,243,0.972
SIPMut115_T1,243,0.972
SIPMut116_T26,243,0.972
SIPMut117_T1,243,0.972
SIPMut118_T1,243,0.972
SIPMut119_T18,243,0.972
SIPMut11_T26,243,0.972
SIPMut120_T1,243,0.972
SIPMut121_T26,250,1
SIPMut122_T1,243,0.972
SIPMut123_T18,243,0.972
SIPMut124_T26,243,0.972
SIPMut125_T21,243,0.972
SIPMut126_T26,243,0.972
SIPMut127_T1,243,0.972
SIPMut128_T21,243,0.972
SIPMut129_T1,243,0.972
SIPMut12_T21,243,0.972
SIPMut130_T18,243,0.972
SIPMut131_T1,243,0.972
SIPMut132_T18,243,0.972
SIPMut133_T26,243,0.972
SIPMut134_T1,243,0.972
SIPMut135_T21,243,0.972
SIPMut136_T26,243,0.972
SIPMut137_T26,250,1
SIPMut138_T21,243,0.972
SIPMut139_T21,243,0.972
SIPMut13_T26,243,0.972
SIPMut140_T1,243,0.972
SIPMut141_T1,243,0.972
SIPMut142_T21,243,0.972
SIPMut143_T18,243,0.972
SIPMut144_T1,243,0.972
SIPMut145_T18,243,0.972
SIPMut146_T18,243,0.972
SIPMut147_T18,243,0.972
SIPMut148_T18,243,0.972
SIPMut149_T18,243,0.972
SIPMut14_T26,243,0.972
SIPMut150_T21,243,0.972
SIPMut151_T1,243,0.972
SIPMut152_T18,243,0.972
SIPMut153_T1,243,0.972
SIPMut154_T1,243,0.972
SIPMut155_T1,243,0.972
SIPMut156_T1,243,0.972
SIPMut157_T1,243,0.972
SIPMut158_T18,243,0.972
SIPMut159_T21,243,0.972
SIPMut15_T26,250,1
SIPMut160_T18,243,0.972
SIPMut161_T21,243,0.972
SIPMut162_T1,243,0.972
SIPMut163_T21,243,0.972
SIPMut164_T26,243,0.972
SIPMut165_T18,243,0.972
SIPMut166_T1,243,0.972
SIPMut167_T21,243,0.972
SIPMut168_T1,243,0.972
SIPMut169_T21,243,0.972
SIPMut16_T18,243,0.972
SIPMut170_T18,243,0.972
SIPMut171_T26,250,1
SIPMut172_T18,243,0.972
SIPMut173_T21,243,0.972
SIPMut174_T18,243,0.972
SIPMut175_T18,243,0.972
SIPMut176_T26,243,0.972
SIPMut177_T26,250,1
SIPMut178_T21,243,0.972
SIPMut179_T18,243,0.972
SIPMut17_T1,243,0.972
SIPMut180_T18,243,0.972
SIPMut181_T1,243,0.972
SIPMut182_T21,243,0.972
SIPMut183_T26,250,1
SIPMut184_T18,243,0.972
SIPMut185_T18,243,0.972
SIPMut186_T1,243,0.972
SIPMut187_T18,243,0.972
SIPMut188_T18,243,0.972
SIPMut189_T1,243,0.972
SIPMut18_T18,243,0.972
SIPMut190_T21,243,0.972
SIPMut191_T18,243,0.972
SIPMut192_T21,243,0.972
SIPMut193_T18,243,0.972
SIPMut194_T26,243,0.972
SIPMut195_T18,243,0.972
SIPMut196_T1,243,0.972
SIPMut197_T21,243,0.972
SIPMut198_T18,243,0.972
SIPMut199_T21,243,0.972
SIPMut19_T26,243,0.972
SIPMut1_T18,243,0.972
SIPMut200_T26,243,0.972
SIPMut20_T1,243,0.972
SIPMut21_T1,243,0.972
SIPMut22_T26,243,0.972
SIPMut23_T21,243,0.972
