0 qid:1 2733:0.000000 692:0.293920 2152:0.049774 1700:0.772880 196:0.000606 2346:0.505524 2960:0.022209 1914:0.571250 1263:0.759058
0 qid:1 2733:0.351402 692:0.123919 2152:0.003278 1700:0.214960 196:0.000068 2346:0.122368 2960:0.000513 1914:0.213175 1263:0.327067
0 qid:1 2733:1.000000 692:1.000000 2152:1.000000 1700:0.949440 196:0.005081 2346:1.000000 2960:1.000000 1914:0.901018 1263:1.000000
0 qid:1 2733:0.351415 692:0.138042 2152:0.003330 1700:0.976258 196:0.024579 2346:0.395639 2960:0.036808 1914:0.846341 1263:0.346348
0 qid:1 2733:0.327900 692:0.110317 2152:0.002524 1700:0.014736 196:0.000130 2346:0.388929 2960:0.013789 1914:0.351681 1263:0.330623
0 qid:1 2733:0.351415 692:0.138324 2152:0.003330 1700:0.981319 196:0.029630 2346:0.395554 2960:0.038882 1914:0.800116 1263:0.346355
0 qid:1 2733:0.351404 692:0.123454 2152:0.003285 1700:0.000000 196:0.000000 2346:0.159467 2960:0.000804 1914:0.000000 1263:0.329572
0 qid:1 2733:0.351341 692:0.134920 2152:0.003316 1700:0.942320 196:0.012662 2346:0.396354 2960:0.031730 1914:0.894431 1263:0.346001
0 qid:1 2733:0.351415 692:0.139186 2152:0.003330 1700:1.000000 196:1.000000 2346:0.395099 2960:0.046499 1914:1.000000 1263:0.346365
0 qid:1 2733:0.349804 692:0.030873 2152:0.001026 1700:0.481070 196:0.000456 2346:0.329878 2960:0.005598 1914:0.537641 1263:0.119383
0 qid:1 2733:0.349191 692:0.071817 2152:0.001548 1700:0.584495 196:0.000905 2346:0.360694 2960:0.008727 1914:0.621781 1263:0.269174
0 qid:1 2733:0.350960 692:0.132946 2152:0.003289 1700:0.904389 196:0.008956 2346:0.397301 2960:0.031747 1914:0.879202 1263:0.345942
0 qid:1 2733:0.351413 692:0.129103 2152:0.003322 1700:0.774240 196:0.002499 2346:0.372907 2960:0.009189 1914:0.780087 1263:0.344378
0 qid:1 2733:0.351415 692:0.139186 2152:0.003330 1700:1.000000 196:1.000000 2346:0.395099 2960:0.046499 1914:1.000000 1263:0.346365
0 qid:1 2733:0.350480 692:0.082936 2152:0.002418 1700:0.686046 196:0.001535 2346:0.367953 2960:0.009280 1914:0.702483 1263:0.273467
1 qid:1 2733:0.351415 692:0.137211 2152:0.003329 1700:0.961522 196:0.016645 2346:0.395694 2960:0.031589 1914:0.894290 1263:0.346312
0 qid:1 2733:0.349404 692:0.000000 2152:0.000000 1700:0.342545 196:0.000192 2346:0.305945 2960:0.004450 1914:0.439646 1263:0.000000
0 qid:1 2733:0.351408 692:0.123539 2152:0.003305 1700:0.350668 196:0.000175 2346:0.269472 2960:0.002443 1914:0.448648 1263:0.337069
